name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
acs.inorgchem.5b02378_ic5b02378_si_002_clean,argon,293.0,15.0,14.0,acs.inorgchem.5b02378_ic5b02378_si_002_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.2905855082,13.4899694444,91.50430988299999,51.3411280294,120.35224091190001,chunk_1
acs.inorgchem.5b02316_ic5b02316_si_002_clean,argon,293.0,15.0,14.0,acs.inorgchem.5b02316_ic5b02316_si_002_clean_argon_293.0K_15.0bar_14.0/Output/System_0,9.1646062517,28.9370527778,366.10769054160005,205.4152622611,275.6560399158,chunk_1
ACOCUS_clean,argon,293.0,15.0,14.0,ACOCUS_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.4777513047,117.21035,218.82520911880002,122.7781848941,42.5431148514,chunk_1
acs.inorgchem.6b01211_ic6b01211_si_002_clean,argon,293.0,15.0,14.0,acs.inorgchem.6b01211_ic6b01211_si_002_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.4613189068,25.4351125,178.2207676873,99.9958937784,82.277009842,chunk_1
ADOBIF_clean,argon,293.0,15.0,14.0,ADOBIF_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.1629842668,8.81480625,86.4068954884,48.4810768975,77.0231577902,chunk_1
acscombsci.5b00188_5013797_clean,argon,293.0,15.0,14.0,acscombsci.5b00188_5013797_clean_argon_293.0K_15.0bar_14.0/Output/System_0,4.3134929659,6.3448166667,172.3154170019,96.6825267252,64.2928409685,chunk_1
AGUBUA_clean,argon,293.0,15.0,14.0,AGUBUA_clean_argon_293.0K_15.0bar_14.0/Output/System_0,3.2420539299,7.4706972222,129.51357039229998,72.66731815760001,133.2252325551,chunk_1
1499489-acs.cgd.6b01265_1499490_clean,argon,293.0,15.0,14.0,1499489-acs.cgd.6b01265_1499490_clean_argon_293.0K_15.0bar_14.0/Output/System_0,5.5856655335,41.5124625,223.13616673189998,125.1969718018,110.6962774938,chunk_1
AHIYOH_clean,argon,293.0,15.0,14.0,AHIYOH_clean_argon_293.0K_15.0bar_14.0/Output/System_0,2.238629504,16.0966875,89.42877142479999,50.176587409899994,71.5243065824,chunk_1
AMIZIG_clean,argon,293.0,15.0,14.0,AMIZIG_clean_argon_293.0K_15.0bar_14.0/Output/System_0,1.2796259156,3.5382,51.1184960781,28.681504239200002,40.2687519537,chunk_1
