name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
acs.cgd.5b01554_VAGNUP1452791_clean,argon,293.0,0.5,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.06471722,0.4383375,2.5853235034999997,1.4505701989,2.133017914,chunk_1
ACOCUS_clean,argon,293.0,0.5,14.0,ACOCUS_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1974433462,4.2248,7.8874667935,4.425490373,1.5334494917,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean,argon,293.0,0.5,14.0,acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.4230643697,4.7717,16.900575441300003,9.482554522400001,7.3261098632,chunk_1
ACODAZ_clean,argon,293.0,0.5,14.0,ACODAZ_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.1925905464,4.0611,7.6936071491,4.3167198371,1.4812359598,chunk_1
acs.inorgchem.5b02378_ic5b02378_si_002_clean,argon,293.0,0.5,14.0,acs.inorgchem.5b02378_ic5b02378_si_002_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.7292289148000001,4.2946555556,29.1312366877,16.3449192104,38.3152402372,chunk_1
acscombsci.5b00188_5013797_clean,argon,293.0,0.5,14.0,acscombsci.5b00188_5013797_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.17109153510000003,0.2516625,6.8347646448,3.8348415187000002,2.5501283867,chunk_1
acs.inorgchem.5b02316_ic5b02316_si_002_clean,argon,293.0,0.5,14.0,acs.inorgchem.5b02316_ic5b02316_si_002_clean_argon_293.0K_0.5bar_14.0/Output/System_0,1.9237357863,6.074155555599999,76.84939719020001,43.1185672584,57.8627574527,chunk_1
acs.chemmater.5b03723_cm5b03723_si_005_clean,argon,293.0,0.5,14.0,acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2832856595,2.6915,11.3166955266,6.3495579022,4.0963421944,chunk_1
acs.inorgchem.6b01416_ic6b01416_si_004_clean,argon,293.0,0.5,14.0,acs.inorgchem.6b01416_ic6b01416_si_004_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2719012381,1.882475,10.861910659100001,6.0943877562,8.1839746025,chunk_1
acs.inorgchem.6b01211_ic6b01211_si_002_clean,argon,293.0,0.5,14.0,acs.inorgchem.6b01211_ic6b01211_si_002_clean_argon_293.0K_0.5bar_14.0/Output/System_0,0.2630495828,1.4997125,10.5083047327,5.8959869687,4.8512409812,chunk_1
