MOF,. time (s),source_chunk
acs.inorgchem.6b01762_ic6b01762_si_002_clean_argon_293.0K_15.0bar_14.,644.7,chunk_1
acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_293.0K_15.0bar_14.,857.9,chunk_1
ADOBIF_clean_argon_293.0K_15.0bar_14.,862.0,chunk_1
AHUFIU_clean_argon_293.0K_15.0bar_14.,990.6,chunk_1
acscombsci.5b00188_5013797_clean_argon_293.0K_15.0bar_14.,1051.4,chunk_1
am301365h_si_002_clean_argon_293.0K_15.0bar_14.,1056.0,chunk_1
AQOTIK_clean_argon_293.0K_15.0bar_14.,1081.2,chunk_1
ASIVEF_clean_argon_293.0K_15.0bar_14.,1110.4,chunk_1
AMIZIG_clean_argon_293.0K_15.0bar_14.,1256.8,chunk_1
ANOMOG_clean_argon_293.0K_15.0bar_14.,1258.5,chunk_1
ASANAL_clean_argon_293.0K_15.0bar_14.,1270.0,chunk_1
AQIXUU_clean_argon_293.0K_15.0bar_14.,1373.4,chunk_1
acs.inorgchem.6b01416_ic6b01416_si_004_clean_argon_293.0K_15.0bar_14.,1381.0,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_293.0K_15.0bar_14.,1436.7,chunk_1
AGUBUA_clean_argon_293.0K_15.0bar_14.,1447.3,chunk_1
acs.inorgchem.6b01211_ic6b01211_si_002_clean_argon_293.0K_15.0bar_14.,1531.0,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean_argon_293.0K_15.0bar_14.,1581.2,chunk_1
AQEGUY_clean_argon_293.0K_15.0bar_14.,1801.6,chunk_1
ATEZIK_clean_argon_293.0K_15.0bar_14.,970.3,chunk_1
AVETAY_clean_argon_293.0K_15.0bar_14.,794.6,chunk_1
AWUPOZ_clean_argon_293.0K_15.0bar_14.,817.1,chunk_1
ATEZEG_clean_argon_293.0K_15.0bar_14.,1062.7,chunk_1
AXIGAR_clean_argon_293.0K_15.0bar_14.,1049.4,chunk_1
AXINAX_clean_argon_293.0K_15.0bar_14.,1175.7,chunk_1
acscombsci.5b00188_34903_clean_argon_293.0K_15.0bar_14.,2881.7,chunk_1
BETDOV_clean_argon_293.0K_15.0bar_14.,1192.8,chunk_1
BETFOX_clean_argon_293.0K_15.0bar_14.,1084.3,chunk_1
BAKYIY_clean_argon_293.0K_15.0bar_14.,1802.5,chunk_1
BEWCUD_clean_argon_293.0K_15.0bar_14.,349.6,chunk_1
ATEJOA_clean_argon_293.0K_15.0bar_14.,3237.8,chunk_1
BEXVIL_clean_argon_293.0K_15.0bar_14.,820.1,chunk_1
ASEKAM_clean_argon_293.0K_15.0bar_14.,2219.0,chunk_1
AQOLOJ_clean_argon_293.0K_15.0bar_14.,3319.8,chunk_1
BEXVAD01_clean_argon_293.0K_15.0bar_14.,1328.4,chunk_1
ATUZEW_clean_argon_293.0K_15.0bar_14.,2405.8,chunk_1
BEXVAD_clean_argon_293.0K_15.0bar_14.,1574.6,chunk_1
AHIYOH_clean_argon_293.0K_15.0bar_14.,3983.0,chunk_1
BEXTUV_clean_argon_293.0K_15.0bar_14.,1975.2,chunk_1
BIJFAD_clean_argon_293.0K_15.0bar_14.,1594.5,chunk_1
CAXSUR_SL_argon_293.0K_15.0bar_14.,1248.8,chunk_1
BOWSOW_clean_argon_293.0K_15.0bar_14.,1099.3,chunk_1
1499489-acs.cgd.6b01265_1499490_clean_argon_293.0K_15.0bar_14.,4595.4,chunk_1
BIRGIU_clean_argon_293.0K_15.0bar_14.,1507.8,chunk_1
BEWVEG_clean_argon_293.0K_15.0bar_14.,1395.3,chunk_1
BORBEQ_clean_argon_293.0K_15.0bar_14.,1155.8,chunk_1
BADXAI_clean_argon_293.0K_15.0bar_14.,3182.1,chunk_1
BIHBEB_clean_argon_293.0K_15.0bar_14.,1932.6,chunk_1
BIWSOQ_clean_argon_293.0K_15.0bar_14.,1398.7,chunk_1
AWEWOP_clean_argon_293.0K_15.0bar_14.,3906.4,chunk_1
BUVVOF_clean_argon_293.0K_15.0bar_14.,976.0,chunk_1
