name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
ja903726m_si_002_clean,argon,273.0,5.0,14.0,ja903726m_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.0685e-06,chunk_1
ULOJUC01_clean,argon,273.0,5.0,14.0,ULOJUC01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.44653e-06,chunk_1
JOHQUT_clean,argon,273.0,5.0,14.0,JOHQUT_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.92319e-06,chunk_1
TACPAP_clean,argon,273.0,5.0,14.0,TACPAP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.69158e-06,chunk_1
ZIQJEQ_clean,argon,273.0,5.0,14.0,ZIQJEQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.4876e-06,chunk_1
OCACUR_clean,argon,273.0,5.0,14.0,OCACUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.10697e-06,chunk_1
RINSEM_clean,argon,273.0,5.0,14.0,RINSEM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.25689e-06,chunk_1
CIWZEP_clean,argon,273.0,5.0,14.0,CIWZEP_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.94158e-06,chunk_1
SIZPUN_clean,argon,273.0,5.0,14.0,SIZPUN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.52116e-06,chunk_1
FOKYEL_clean,argon,273.0,5.0,14.0,FOKYEL_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.68433e-06,chunk_1
LEVYOC_clean,argon,273.0,5.0,14.0,LEVYOC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.48426e-06,chunk_1
COQGAS_clean,argon,273.0,5.0,14.0,COQGAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.67656e-06,chunk_1
GULCAS_clean,argon,273.0,5.0,14.0,GULCAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.40836e-05,chunk_1
ALIXAU_clean_h,argon,273.0,5.0,14.0,ALIXAU_clean_h_argon_273.0K_5.0bar_14.0/Output/System_0,5.48012e-06,chunk_1
YARYIZ_clean,argon,273.0,5.0,14.0,YARYIZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.14359e-06,chunk_1
