MOF,. time (s),source_chunk
COXHED_clean_argon_313.0K_5.0bar_14.,85.8,chunk_1
AVIHOE_clean_argon_313.0K_5.0bar_14.,125.3,chunk_1
DOZKIO_clean_argon_313.0K_5.0bar_14.,155.0,chunk_1
FISGOF_clean_argon_313.0K_5.0bar_14.,155.1,chunk_1
DANZOJ_neutral_argon_313.0K_5.0bar_14.,173.8,chunk_1
ECUDOX_clean_argon_313.0K_5.0bar_14.,185.8,chunk_1
CARGEI_clean_argon_313.0K_5.0bar_14.,191.0,chunk_1
CUQROX_clean_argon_313.0K_5.0bar_14.,211.1,chunk_1
AQOLEZ_clean_argon_313.0K_5.0bar_14.,217.0,chunk_1
DEFRIR_clean_argon_313.0K_5.0bar_14.,227.0,chunk_1
BOYCEY_auto_argon_313.0K_5.0bar_14.,259.5,chunk_1
WEXSEZ_clean_argon_313.0K_5.0bar_14.,259.8,chunk_1
CAYMIZ_clean_argon_313.0K_5.0bar_14.,261.3,chunk_1
DUXMAL_clean_argon_313.0K_5.0bar_14.,261.8,chunk_1
OGOJAX_clean_argon_313.0K_5.0bar_14.,268.1,chunk_1
c6ce00126b_c6ce00126b2_clean_argon_313.0K_5.0bar_14.,271.2,chunk_1
LIXXEW_clean_argon_313.0K_5.0bar_14.,274.1,chunk_1
APAZOI_clean_argon_313.0K_5.0bar_14.,276.1,chunk_1
LUDTUZ_clean_argon_313.0K_5.0bar_14.,282.3,chunk_1
ULOKUD_clean_argon_313.0K_5.0bar_14.,285.8,chunk_1
EZIMIK_clean_argon_313.0K_5.0bar_14.,334.3,chunk_1
RANVUA_clean_argon_313.0K_5.0bar_14.,251.9,chunk_1
ATUXIY_clean_argon_313.0K_5.0bar_14.,340.5,chunk_1
HIQKID_clean_argon_313.0K_5.0bar_14.,240.2,chunk_1
ETIYEN_clean_argon_313.0K_5.0bar_14.,367.4,chunk_1
BAPDAA_clean_argon_313.0K_5.0bar_14.,244.9,chunk_1
YEGHEZ_clean_argon_313.0K_5.0bar_14.,139.5,chunk_1
ESURER01_clean_argon_313.0K_5.0bar_14.,241.9,chunk_1
ADAXIO_clean_argon_313.0K_5.0bar_14.,280.9,chunk_1
PARSAF_clean_argon_313.0K_5.0bar_14.,440.1,chunk_1
cg500091k_si_002_clean_argon_313.0K_5.0bar_14.,239.2,chunk_1
BEPNIV_clean_argon_313.0K_5.0bar_14.,184.3,chunk_1
OTOZAA_clean_argon_313.0K_5.0bar_14.,201.4,chunk_1
CORZIU_clean_argon_313.0K_5.0bar_14.,219.2,chunk_1
GANBED_clean_argon_313.0K_5.0bar_14.,272.9,chunk_1
DUPJAB_clean_argon_313.0K_5.0bar_14.,501.4,chunk_1
CEGFAW_clean_argon_313.0K_5.0bar_14.,334.2,chunk_1
ASAHEJ_clean_argon_313.0K_5.0bar_14.,260.4,chunk_1
ATEZEG_clean_argon_313.0K_5.0bar_14.,246.3,chunk_1
DAHNUW_clean_argon_313.0K_5.0bar_14.,170.0,chunk_1
CETFOX_clean_argon_313.0K_5.0bar_14.,207.5,chunk_1
CUYYAX_clean_argon_313.0K_5.0bar_14.,356.9,chunk_1
cm503311x_aloh200K_clean_argon_313.0K_5.0bar_14.,153.4,chunk_1
cg060732osi20070605_042406_clean_argon_313.0K_5.0bar_14.,157.5,chunk_1
OCUTAI_clean_argon_313.0K_5.0bar_14.,224.1,chunk_1
ERUNOW_clean_argon_313.0K_5.0bar_14.,575.8,chunk_1
c6cc00589f_c6cc00589f3_clean_argon_313.0K_5.0bar_14.,102.3,chunk_1
UMOYOM19_clean_argon_313.0K_5.0bar_14.,304.6,chunk_1
VOVQEE_clean_argon_313.0K_5.0bar_14.,138.7,chunk_1
REJLOI_clean_argon_313.0K_5.0bar_14.,273.5,chunk_1
VECVUW_clean_argon_313.0K_5.0bar_14.,340.8,chunk_1
c6ce00407e_c6ce00407e9_clean_argon_313.0K_5.0bar_14.,86.4,chunk_1
EWETUW_clean_argon_313.0K_5.0bar_14.,269.0,chunk_1
PENNIH_clean_argon_313.0K_5.0bar_14.,425.3,chunk_1
cm503311x_alf70K_clean_argon_313.0K_5.0bar_14.,172.4,chunk_1
BABREE_clean_argon_313.0K_5.0bar_14.,423.9,chunk_1
BIBXUH_clean_argon_313.0K_5.0bar_14.,157.1,chunk_1
EFESOZ_clean_argon_313.0K_5.0bar_14.,720.3,chunk_1
BAFHAU_clean_argon_313.0K_5.0bar_14.,95.2,chunk_1
TILBIB_clean_argon_313.0K_5.0bar_14.,314.2,chunk_1
