MOF,. time (s)
NIBHOW_clean_argon_273.0K_0.05bar_14.,64.5
WOMFIO_charged_argon_273.0K_0.05bar_14.,96.9
OBAFIJ_clean_argon_273.0K_0.05bar_14.,105.5
XUZFUU_clean_argon_273.0K_0.05bar_14.,115.9
VUKROK_clean_argon_273.0K_0.05bar_14.,118.7
HAPVAX_clean_argon_273.0K_0.05bar_14.,137.6
BEKYOG_clean_argon_273.0K_0.05bar_14.,140.7
XOBXIW_clean_argon_273.0K_0.05bar_14.,144.9
VOVLAV_clean_argon_273.0K_0.05bar_14.,145.0
UMODEH02_clean_argon_273.0K_0.05bar_14.,161.2
jz4002345_si_004_clean_argon_273.0K_0.05bar_14.,184.9
KEGZOL04_clean_argon_273.0K_0.05bar_14.,62.5
VUQJUN_clean_argon_273.0K_0.05bar_14.,226.4
EMIHAK_charged_argon_273.0K_0.05bar_14.,234.4
LAMGUB_clean_argon_273.0K_0.05bar_14.,129.7
VONCIM_clean_argon_273.0K_0.05bar_14.,253.5
ONIXOZ_clean_argon_273.0K_0.05bar_14.,256.0
KIFKEQ_clean_argon_273.0K_0.05bar_14.,278.9
TONQOD_clean_argon_273.0K_0.05bar_14.,151.2
HITXUE_clean_argon_273.0K_0.05bar_14.,294.0
ZIWMEZ_clean_argon_273.0K_0.05bar_14.,215.2
YUBHAG_clean_argon_273.0K_0.05bar_14.,131.5
HUSJUC_clean_argon_273.0K_0.05bar_14.,333.3
OSAXAI_clean_argon_273.0K_0.05bar_14.,351.1
VEQCEA_charged_argon_273.0K_0.05bar_14.,217.1
TINFIH_clean_argon_273.0K_0.05bar_14.,75.8
REXDAB_clean_argon_273.0K_0.05bar_14.,120.2
RAXYOF_clean_argon_273.0K_0.05bar_14.,216.2
SEYNAM_clean_argon_273.0K_0.05bar_14.,206.0
WOPDEL_clean_argon_273.0K_0.05bar_14.,305.2
OKAYIK_clean_argon_273.0K_0.05bar_14.,466.7
OHEMIX_clean_argon_273.0K_0.05bar_14.,143.3
DOMGET_clean_argon_273.0K_0.05bar_14.,504.7
TOXHEV_clean_argon_273.0K_0.05bar_14.,505.1
HOVQUG_clean_argon_273.0K_0.05bar_14.,413.0
FIMYUX_clean_argon_273.0K_0.05bar_14.,597.0
JUKNUA_clean_argon_273.0K_0.05bar_14.,315.7
SACDUX_clean_argon_273.0K_0.05bar_14.,368.6
ALOLOD_charged_argon_273.0K_0.05bar_14.,659.1
KOSLEL_clean_argon_273.0K_0.05bar_14.,106.2
FILYAC_clean_argon_273.0K_0.05bar_14.,199.0
VAKBIU_clean_argon_273.0K_0.05bar_14.,373.2
XALBOC_clean_argon_273.0K_0.05bar_14.,591.7
EDUVUU_clean_argon_273.0K_0.05bar_14.,166.3
QOFCEV_clean_argon_273.0K_0.05bar_14.,491.9
VUQKUO_clean_argon_273.0K_0.05bar_14.,418.2
SEFTUU_clean_argon_273.0K_0.05bar_14.,125.6
SEFWAD_clean_argon_273.0K_0.05bar_14.,117.1
QOWRAV03_clean_argon_273.0K_0.05bar_14.,774.1
UKUBIM_clean_argon_273.0K_0.05bar_14.,411.2
VIPZAX_clean_argon_273.0K_0.05bar_14.,192.4
IXEDUK_charged_argon_273.0K_0.05bar_14.,475.7
QOFDIA03_clean_argon_273.0K_0.05bar_14.,492.7
ABEXIQ_clean_argon_273.0K_0.05bar_14.,168.3
VICYUD_clean_argon_273.0K_0.05bar_14.,418.3
UHOHEG_clean_argon_273.0K_0.05bar_14.,886.8
QOJKAB_clean_argon_273.0K_0.05bar_14.,100.6
SEHSOO_clean_argon_273.0K_0.05bar_14.,105.1
SEFBOV_clean_argon_273.0K_0.05bar_14.,128.0
NAJTEA_clean_argon_273.0K_0.05bar_14.,269.7
ADAVIM_clean_argon_273.0K_0.05bar_14.,499.3
IFEQAN_SL_argon_273.0K_0.05bar_14.,424.1
SOTTUR_clean_argon_273.0K_0.05bar_14.,197.8
QAJJOD_clean_argon_273.0K_0.05bar_14.,1056.1
VOCQEJ_clean_argon_273.0K_0.05bar_14.,227.9
YIPDOR_clean_argon_273.0K_0.05bar_14.,50.2
c5ce00010f_c5ce00010f2_clean_argon_273.0K_0.05bar_14.,590.1
MUVHAN_clean_argon_273.0K_0.05bar_14.,198.1
