MOF,. time (s)
YIWNOH_clean_argon_273.0K_1.0bar_14.,137.9
YIPDOR_clean_argon_273.0K_1.0bar_14.,145.5
TINFIH_clean_argon_273.0K_1.0bar_14.,186.4
TONQOD_clean_argon_273.0K_1.0bar_14.,246.9
QADKAH_clean_argon_273.0K_1.0bar_14.,255.4
POLNAG_clean_argon_273.0K_1.0bar_14.,275.4
KEGZOL04_clean_argon_273.0K_1.0bar_14.,141.1
LAMGUB_clean_argon_273.0K_1.0bar_14.,305.5
UMODEH02_clean_argon_273.0K_1.0bar_14.,309.1
VOCQEJ_clean_argon_273.0K_1.0bar_14.,341.0
ZIWMEZ_clean_argon_273.0K_1.0bar_14.,342.1
WEMYEU_clean_argon_273.0K_1.0bar_14.,343.5
XUVGUQ01_ion_b_argon_273.0K_1.0bar_14.,389.6
HAJMAH_clean_argon_273.0K_1.0bar_14.,417.2
jz4002345_si_004_clean_argon_273.0K_1.0bar_14.,299.9
SEHSOO_clean_argon_273.0K_1.0bar_14.,179.9
WOPDEL_clean_argon_273.0K_1.0bar_14.,456.9
WOMFIO_charged_argon_273.0K_1.0bar_14.,237.7
KAKBUW_clean_argon_273.0K_1.0bar_14.,502.7
HAPVAX_clean_argon_273.0K_1.0bar_14.,242.4
cg500175k_si_001_auto_argon_273.0K_1.0bar_14.,269.8
VUKROK_clean_argon_273.0K_1.0bar_14.,249.4
XOBXIW_clean_argon_273.0K_1.0bar_14.,262.8
CUTBOK_clean_argon_273.0K_1.0bar_14.,182.7
VUQKUO_clean_argon_273.0K_1.0bar_14.,638.3
QOJKAB_clean_argon_273.0K_1.0bar_14.,195.0
OBAFIJ_clean_argon_273.0K_1.0bar_14.,212.7
IFEQAN_SL_argon_273.0K_1.0bar_14.,707.1
QOFDIA03_clean_argon_273.0K_1.0bar_14.,715.3
RUWWOW_clean_argon_273.0K_1.0bar_14.,310.6
VONCIM_clean_argon_273.0K_1.0bar_14.,455.2
SEFBOV_clean_argon_273.0K_1.0bar_14.,228.1
OHUMIP_clean_argon_273.0K_1.0bar_14.,339.9
XUZFUU_clean_argon_273.0K_1.0bar_14.,203.7
MEFJOY_clean_argon_273.0K_1.0bar_14.,962.9
FILYAC_clean_argon_273.0K_1.0bar_14.,328.8
PENYOX_clean_argon_273.0K_1.0bar_14.,783.0
IKUTUF_clean_argon_273.0K_1.0bar_14.,763.5
VOVLAV_clean_argon_273.0K_1.0bar_14.,248.2
MUVHAN_clean_argon_273.0K_1.0bar_14.,463.4
GOSDEZ_clean_argon_273.0K_1.0bar_14.,326.0
SUNLET_clean_argon_273.0K_1.0bar_14.,1161.6
EBUQEX_clean_argon_273.0K_1.0bar_14.,579.9
ISENUQ_clean_argon_273.0K_1.0bar_14.,1229.6
FUVDEH12_clean_argon_273.0K_1.0bar_14.,1282.4
FIMYUX_clean_argon_273.0K_1.0bar_14.,1133.0
WENKIL_manual_argon_273.0K_1.0bar_14.,411.1
ONIXOZ_clean_argon_273.0K_1.0bar_14.,448.4
KOSLEL_clean_argon_273.0K_1.0bar_14.,216.1
HEHCOO_clean_argon_273.0K_1.0bar_14.,443.6
UKUBIM_clean_argon_273.0K_1.0bar_14.,1178.9
KIFKEQ_clean_argon_273.0K_1.0bar_14.,571.5
