MOF,. time (s)
YIPDOR_clean_argon_273.0K_5.0bar_14.,100.3
KEGZOL04_clean_argon_273.0K_5.0bar_14.,108.9
cm503311x_alf450K_clean_argon_273.0K_5.0bar_14.,132.7
MUVHAN_clean_argon_273.0K_5.0bar_14.,166.7
REXFUX_clean_argon_273.0K_5.0bar_14.,169.3
ADODII_clean_argon_273.0K_5.0bar_14.,182.7
XISKUF_clean_argon_273.0K_5.0bar_14.,184.7
OHEMIX_clean_argon_273.0K_5.0bar_14.,211.5
CAMROA_clean_argon_273.0K_5.0bar_14.,229.5
SEFTUU_clean_argon_273.0K_5.0bar_14.,229.5
ZASTUK_clean_argon_273.0K_5.0bar_14.,237.6
WEMYEU_clean_argon_273.0K_5.0bar_14.,287.4
ACIBIY_clean_argon_273.0K_5.0bar_14.,311.5
OSAXAI_clean_argon_273.0K_5.0bar_14.,321.7
UKUBIM_clean_argon_273.0K_5.0bar_14.,339.2
SEHSOO_clean_argon_273.0K_5.0bar_14.,134.0
OKAYIK_clean_argon_273.0K_5.0bar_14.,391.1
EDUVUU_clean_argon_273.0K_5.0bar_14.,217.8
UZAROE_clean_argon_273.0K_5.0bar_14.,422.6
VAQSEO_clean_argon_273.0K_5.0bar_14.,427.6
XOPVOO_clean_argon_273.0K_5.0bar_14.,451.5
NAJTEA_clean_argon_273.0K_5.0bar_14.,246.2
TOXHEV_clean_argon_273.0K_5.0bar_14.,485.0
VUQKUO_clean_argon_273.0K_5.0bar_14.,493.9
GOSDEZ_clean_argon_273.0K_5.0bar_14.,275.9
IXEDUK_charged_argon_273.0K_5.0bar_14.,525.9
VICYUD_clean_argon_273.0K_5.0bar_14.,377.3
ISENUQ_clean_argon_273.0K_5.0bar_14.,549.2
SEFWAD_clean_argon_273.0K_5.0bar_14.,228.2
SOBZOY_clean_argon_273.0K_5.0bar_14.,108.0
LAFFEG_clean_argon_273.0K_5.0bar_14.,433.0
XOBXIW_clean_argon_273.0K_5.0bar_14.,199.3
WABVIF01_clean_argon_273.0K_5.0bar_14.,120.3
WENKIL_manual_argon_273.0K_5.0bar_14.,332.6
LIQCUK_clean_argon_273.0K_5.0bar_14.,231.7
FUVDEH12_clean_argon_273.0K_5.0bar_14.,652.3
VIPZAX_clean_argon_273.0K_5.0bar_14.,240.4
SUFJIO_clean_argon_273.0K_5.0bar_14.,330.8
CUTBOK_clean_argon_273.0K_5.0bar_14.,145.8
QOFDIA03_clean_argon_273.0K_5.0bar_14.,580.8
c5ce00010f_c5ce00010f2_clean_argon_273.0K_5.0bar_14.,795.4
JOVYAW_clean_argon_273.0K_5.0bar_14.,163.5
QOWRAV03_clean_argon_273.0K_5.0bar_14.,797.2
MUTDEM_clean_argon_273.0K_5.0bar_14.,236.1
TONQOD_clean_argon_273.0K_5.0bar_14.,188.0
VAKBIU_clean_argon_273.0K_5.0bar_14.,354.6
QADKAH_clean_argon_273.0K_5.0bar_14.,185.5
VUSKEA_clean_argon_273.0K_5.0bar_14.,100.9
MIZZOM_clean_argon_273.0K_5.0bar_14.,343.3
OCAWAT_clean_argon_273.0K_5.0bar_14.,349.0
MEFJOY_clean_argon_273.0K_5.0bar_14.,416.2
ADAVIM_clean_argon_273.0K_5.0bar_14.,620.4
KOSLEL_clean_argon_273.0K_5.0bar_14.,158.8
SEFBOV_clean_argon_273.0K_5.0bar_14.,160.9
POLNAG_clean_argon_273.0K_5.0bar_14.,205.0
MOBBAI_clean_argon_273.0K_5.0bar_14.,411.8
NIBHOW_clean_argon_273.0K_5.0bar_14.,145.8
YIWNOH_clean_argon_273.0K_5.0bar_14.,109.1
XALBOC_clean_argon_273.0K_5.0bar_14.,1015.0
BEKYOG_clean_argon_273.0K_5.0bar_14.,219.0
ZIWMEZ_clean_argon_273.0K_5.0bar_14.,248.0
XUVGUQ01_ion_b_argon_273.0K_5.0bar_14.,292.8
YUBHAG_clean_argon_273.0K_5.0bar_14.,159.1
QOJKAB_clean_argon_273.0K_5.0bar_14.,133.7
KONCIB_clean_argon_273.0K_5.0bar_14.,225.3
REXDAB_clean_argon_273.0K_5.0bar_14.,255.4
LIKGUJ_clean_argon_273.0K_5.0bar_14.,386.2
DOTFID_clean_argon_273.0K_5.0bar_14.,645.2
TANMIH_clean_argon_273.0K_5.0bar_14.,346.3
KAKBUW_clean_argon_273.0K_5.0bar_14.,584.6
RAXYOF_clean_argon_273.0K_5.0bar_14.,281.8
VONCIM_clean_argon_273.0K_5.0bar_14.,253.2
VUQJUN_clean_argon_273.0K_5.0bar_14.,245.2
BAXGAK_clean_argon_273.0K_5.0bar_14.,273.6
QAJJOD_clean_argon_273.0K_5.0bar_14.,1029.3
cg500175k_si_001_auto_argon_273.0K_5.0bar_14.,357.5
FIMYUX_clean_argon_273.0K_5.0bar_14.,672.6
HOVQUG_clean_argon_273.0K_5.0bar_14.,448.8
ONIXOZ_clean_argon_273.0K_5.0bar_14.,266.6
LAMGUB_clean_argon_273.0K_5.0bar_14.,214.7
RUWWOW_clean_argon_273.0K_5.0bar_14.,201.0
IFEQAN_SL_argon_273.0K_5.0bar_14.,535.9
WOBHEB01_clean_argon_273.0K_5.0bar_14.,155.0
OBAFIJ_clean_argon_273.0K_5.0bar_14.,162.2
SACDUX_clean_argon_273.0K_5.0bar_14.,407.6
UMOYOM05_clean_argon_273.0K_5.0bar_14.,296.5
OHUMIP_clean_argon_273.0K_5.0bar_14.,292.0
ic5030058_si_002_clean_argon_273.0K_5.0bar_14.,671.7
WOMFIO_charged_argon_273.0K_5.0bar_14.,179.3
WOPDEL_clean_argon_273.0K_5.0bar_14.,359.9
HAJMAH_clean_argon_273.0K_5.0bar_14.,314.0
YIWLUL_clean_argon_273.0K_5.0bar_14.,96.0
TINFIH_clean_argon_273.0K_5.0bar_14.,146.6
jz4002345_si_004_clean_argon_273.0K_5.0bar_14.,224.9
VOVLAV_clean_argon_273.0K_5.0bar_14.,164.5
BALPAH_clean_argon_273.0K_5.0bar_14.,1892.3
IKUTUF_clean_argon_273.0K_5.0bar_14.,390.6
SOTTUR_clean_argon_273.0K_5.0bar_14.,218.3
DOMGET_clean_argon_273.0K_5.0bar_14.,506.2
