name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
UZAROE_clean,argon,273.0,0.1,14.0,UZAROE_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0261422011,0.3552,1.0443286508,0.5859506622,0.5403694397
LIKGUJ_clean,argon,273.0,0.1,14.0,LIKGUJ_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.1208382729,1.9921,4.8272473264,2.7084661185,2.793114299
cg500175k_si_001_auto,argon,273.0,0.1,14.0,cg500175k_si_001_auto_argon_273.0K_0.1bar_14.0/Output/System_0,0.045624052,0.6872,1.8225896295,1.0226163952,0.526897157
SUNLET_clean,argon,273.0,0.1,14.0,SUNLET_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.045393412,0.34350625,1.8133760241,1.0174468365,0.632409367
MOBBAI_clean,argon,273.0,0.1,14.0,MOBBAI_clean_argon_273.0K_0.1bar_14.0/Output/System_0,,,,,
SEFWAD_clean,argon,273.0,0.1,14.0,SEFWAD_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0230598341,0.06298125,0.9211942507,0.5168625612,0.4702870603
SEFBOV_clean,argon,273.0,0.1,14.0,SEFBOV_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0517540238,0.0792861111,2.0674697438,1.1600134349,1.1895203502
RUWWOW_clean,argon,273.0,0.1,14.0,RUWWOW_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0802707549,0.0703361111,3.2066561175,1.799186754,2.6731235268
OCAWAT_clean,argon,273.0,0.1,14.0,OCAWAT_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0563236123,0.1959333333,2.2500156644,1.2624360803,1.9994145297
IFEQAN_SL,argon,273.0,0.1,14.0,IFEQAN_SL_argon_273.0K_0.1bar_14.0/Output/System_0,0.0233383231,0.0690270833,0.9323193331,0.523104609,0.7075699692
ZASTUK_clean,argon,273.0,0.1,14.0,ZASTUK_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.1035345359,0.1363194444,4.135997641,2.3206205772,2.8644138203
MUVHAN_clean,argon,273.0,0.1,14.0,MUVHAN_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.2378759023,0.2997083333,9.5026665469,5.3317447061,5.2488145161
LUDLAZ_clean,argon,273.0,0.1,14.0,LUDLAZ_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.3823600576,0.6899275,15.27451958,8.5702090573,14.0134476297
ONIXOZ_clean,argon,273.0,0.1,14.0,ONIXOZ_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0782717541,0.2363958333,3.1268000326,1.754381198,1.5959651434
YIPDOR_clean,argon,273.0,0.1,14.0,YIPDOR_clean_argon_273.0K_0.1bar_14.0/Output/System_0,0.0410806802,0.05720625,1.641091011,0.9207813688,0.4127406101
