name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
ADOBIF_clean,argon,273.0,5.0,14.0,ADOBIF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.4635722866999998,5.96449375,58.466785710399996,32.8044737397,52.117327393900005,chunk_1
acs.inorgchem.6b00276_ic6b00276_si_006_clean,argon,273.0,5.0,14.0,acs.inorgchem.6b00276_ic6b00276_si_006_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.8441701063,96.55435,153.5669074072,86.16313553260001,65.5980095412,chunk_1
acscombsci.5b00188_34903_clean,argon,273.0,5.0,14.0,acscombsci.5b00188_34903_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.5452760927999996,4.7704833333,141.6266893538,79.4637323618,172.103793613,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean,argon,273.0,5.0,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_argon_273.0K_5.0bar_14.0/Output/System_0,0.8278450272,5.60709375,33.070753148099996,18.5552983633,27.284983407,chunk_1
1499489-acs.cgd.6b01265_1499490_clean,argon,273.0,5.0,14.0,1499489-acs.cgd.6b01265_1499490_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.8287425536,28.455075,152.95060753299998,85.8173427412,75.87771692189999,chunk_1
acs.inorgchem.5b02316_ic5b02316_si_002_clean,argon,273.0,5.0,14.0,acs.inorgchem.5b02316_ic5b02316_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.0210867652,25.3264138889,320.4263740944,179.78444422349997,241.2608848418,chunk_1
acs.inorgchem.6b01416_ic6b01416_si_004_clean,argon,273.0,5.0,14.0,acs.inorgchem.6b01416_ic6b01416_si_004_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.2942395925,15.8838875,91.65028324069999,51.4230305852,69.05447981479999,chunk_1
acs.inorgchem.6b01211_ic6b01211_si_002_clean,argon,273.0,5.0,14.0,acs.inorgchem.6b01211_ic6b01211_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.5625853301,14.60995,102.3701587666,57.4377254399,47.2599836128,chunk_1
AMIZIG_clean,argon,273.0,5.0,14.0,AMIZIG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,0.8224016014,2.2739625,32.8532991741,18.4332895494,25.8802871133,chunk_1
acs.inorgchem.6b01762_ic6b01762_si_002_clean,argon,273.0,5.0,14.0,acs.inorgchem.6b01762_ic6b01762_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,0.2866219361,9.32145,11.4499731037,6.4243371247,14.853012098099999,chunk_1
AHIYOH_clean,argon,273.0,5.0,14.0,AHIYOH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.8345545621000001,13.19121875,73.2867856451,41.119661461599996,58.6140952336,chunk_1
AHUFIU_clean,argon,273.0,5.0,14.0,AHUFIU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.020084977,6.8606125,40.750354661799996,22.864159935300002,21.9941939773,chunk_1
AKOXIJ_clean,argon,273.0,5.0,14.0,AKOXIJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.3032824156,33.3798583333,171.907525938,96.45366769809999,137.6976098067,chunk_1
ANOMOG_clean,argon,273.0,5.0,14.0,ANOMOG_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.8167369614999997,13.3212375,112.52300813629999,63.1342739415,49.532269084300005,chunk_1
AGUBUA_clean,argon,273.0,5.0,14.0,AGUBUA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.8994085747000002,6.6811361111,115.8255737434,64.9872734764,119.14495871780001,chunk_1
am301365h_si_002_clean,argon,273.0,5.0,14.0,am301365h_si_002_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.4326024831,3.94739375,57.2296039962,32.1103173129,29.126344521799997,chunk_1
APEBOO_clean,argon,273.0,5.0,14.0,APEBOO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.4393347022,65.8427375,297.18654268169996,166.7450675923,208.0551172474,chunk_1
AQOLOJ_clean,argon,273.0,5.0,14.0,AQOLOJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.1599087639,15.2754375,166.1800353022,93.2400941474,85.64537126020001,chunk_1
