MOF,. time (s),source_chunk
AVIHOE_clean_argon_313.0K_5.0bar_14.,189.8,chunk_1
FISGOF_clean_argon_313.0K_5.0bar_14.,192.8,chunk_1
OGOJAX_clean_argon_313.0K_5.0bar_14.,239.0,chunk_1
DANZOJ_neutral_argon_313.0K_5.0bar_14.,255.1,chunk_1
ATEZEG_clean_argon_313.0K_5.0bar_14.,265.7,chunk_1
ULOKUD_clean_argon_313.0K_5.0bar_14.,283.7,chunk_1
ASAHEJ_clean_argon_313.0K_5.0bar_14.,294.6,chunk_1
YEGHEZ_clean_argon_313.0K_5.0bar_14.,298.6,chunk_1
LUDTUZ_clean_argon_313.0K_5.0bar_14.,336.0,chunk_1
UMOYOM19_clean_argon_313.0K_5.0bar_14.,389.9,chunk_1
c6cc00589f_c6cc00589f3_clean_argon_313.0K_5.0bar_14.,108.3,chunk_1
AQOLEZ_clean_argon_313.0K_5.0bar_14.,427.4,chunk_1
VOVQEE_clean_argon_313.0K_5.0bar_14.,174.0,chunk_1
WEXSEZ_clean_argon_313.0K_5.0bar_14.,536.4,chunk_1
HIQKID_clean_argon_313.0K_5.0bar_14.,562.8,chunk_1
ADAXIO_clean_argon_313.0K_5.0bar_14.,564.3,chunk_1
OTOZAA_clean_argon_313.0K_5.0bar_14.,625.8,chunk_1
BAPDAA_clean_argon_313.0K_5.0bar_14.,627.5,chunk_1
OCUTAI_clean_argon_313.0K_5.0bar_14.,494.2,chunk_1
FEWXEM_clean_argon_313.0K_5.0bar_14.,748.3,chunk_1
QAMLEY_clean_argon_313.0K_5.0bar_14.,153.0,chunk_1
BAFHAU_clean_argon_313.0K_5.0bar_14.,107.4,chunk_1
ASUWUI_clean_argon_313.0K_5.0bar_14.,383.2,chunk_1
VECVUW_clean_argon_313.0K_5.0bar_14.,930.1,chunk_1
APAZOI_clean_argon_313.0K_5.0bar_14.,938.6,chunk_1
UVUCEV_clean_argon_313.0K_5.0bar_14.,666.0,chunk_1
APEBEE_clean_argon_313.0K_5.0bar_14.,619.7,chunk_1
LIXXEW_clean_argon_313.0K_5.0bar_14.,957.8,chunk_1
GANBED_clean_argon_313.0K_5.0bar_14.,1011.3,chunk_1
LORNEL_clean_argon_313.0K_5.0bar_14.,137.4,chunk_1
PENNIH_clean_argon_313.0K_5.0bar_14.,1151.2,chunk_1
IBAPOS_clean_argon_313.0K_5.0bar_14.,217.6,chunk_1
AFENEE_clean_argon_313.0K_5.0bar_14.,284.6,chunk_1
EZIMIK_clean_argon_313.0K_5.0bar_14.,1253.6,chunk_1
ARAGOR_clean_argon_313.0K_5.0bar_14.,859.9,chunk_1
FIHHOV_clean_argon_313.0K_5.0bar_14.,218.2,chunk_1
AVIVAC_clean_argon_313.0K_5.0bar_14.,732.9,chunk_1
NUNZUT_clean_argon_313.0K_5.0bar_14.,722.1,chunk_1
QUQGEP_neutral_argon_313.0K_5.0bar_14.,459.2,chunk_1
TILBIB_clean_argon_313.0K_5.0bar_14.,1150.0,chunk_1
BABREE_clean_argon_313.0K_5.0bar_14.,1428.5,chunk_1
IJAPOA_clean_argon_313.0K_5.0bar_14.,582.4,chunk_1
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean_argon_313.0K_5.0bar_14.,284.7,chunk_1
