name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
AQIXUV_clean,argon,293.0,5.0,14.0,AQIXUV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.67413e-06,chunk_1
CODVAU_clean,argon,293.0,5.0,14.0,CODVAU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.000312375,chunk_1
KUGFAU_clean,argon,293.0,5.0,14.0,KUGFAU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.39349e-07,chunk_1
acscombsci.5b00188_5024922_clean,argon,293.0,5.0,14.0,acscombsci.5b00188_5024922_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.91649e-06,chunk_1
cm503311x_alf250K_clean,argon,293.0,5.0,14.0,cm503311x_alf250K_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.16289e-06,chunk_1
AFOVIB_clean,argon,293.0,5.0,14.0,AFOVIB_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.87935e-06,chunk_1
REJLOI_clean,argon,293.0,5.0,14.0,REJLOI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.000194178,chunk_1
BUPDOH_clean,argon,293.0,5.0,14.0,BUPDOH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.16135e-05,chunk_1
c5ta03835a_c5ta03835a2_clean,argon,293.0,5.0,14.0,c5ta03835a_c5ta03835a2_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.48138e-06,chunk_1
SURKUN01_clean,argon,293.0,5.0,14.0,SURKUN01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.75371e-06,chunk_1
AXUBAW_manual,argon,293.0,5.0,14.0,AXUBAW_manual_argon_293.0K_5.0bar_14.0/Output/System_0,2.44338e-06,chunk_1
TEQPEM_SL,argon,293.0,5.0,14.0,TEQPEM_SL_argon_293.0K_5.0bar_14.0/Output/System_0,2.70507e-06,chunk_1
LUDTUZ_clean,argon,293.0,5.0,14.0,LUDTUZ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.23557e-06,chunk_1
LAVMAY_clean,argon,293.0,5.0,14.0,LAVMAY_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.90546e-06,chunk_1
ZIVCOY_clean,argon,293.0,5.0,14.0,ZIVCOY_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.93283e-06,chunk_1
c6ce00407e_c6ce00407e8_clean,argon,293.0,5.0,14.0,c6ce00407e_c6ce00407e8_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.23267e-06,chunk_1
NIMQAC_clean,argon,293.0,5.0,14.0,NIMQAC_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.66965e-06,chunk_1
BEPMAM_clean,argon,293.0,5.0,14.0,BEPMAM_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.51264e-06,chunk_1
BEXSAA_clean,argon,293.0,5.0,14.0,BEXSAA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.09835e-06,chunk_1
c5cc09432a_c5cc09432a2_clean,argon,293.0,5.0,14.0,c5cc09432a_c5cc09432a2_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.75683e-06,chunk_1
IKOTEH_clean,argon,293.0,5.0,14.0,IKOTEH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.65572e-06,chunk_1
AMOFAK_clean,argon,293.0,5.0,14.0,AMOFAK_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.21209e-06,chunk_1
GUKCIA_clean,argon,293.0,5.0,14.0,GUKCIA_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.42931e-05,chunk_1
SOHMOS_clean,argon,293.0,5.0,14.0,SOHMOS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.95088e-06,chunk_1
AZIVAI_clean,argon,293.0,5.0,14.0,AZIVAI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.50836e-06,chunk_1
VIXPUP_clean,argon,293.0,5.0,14.0,VIXPUP_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.86175e-06,chunk_1
SURHEU02_clean,argon,293.0,5.0,14.0,SURHEU02_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.92682e-06,chunk_1
ADASEF_clean,argon,293.0,5.0,14.0,ADASEF_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.2768e-06,chunk_1
BEPNUH_clean,argon,293.0,5.0,14.0,BEPNUH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.12481e-06,chunk_1
BUKRUW03_clean,argon,293.0,5.0,14.0,BUKRUW03_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.07186e-06,chunk_1
NAHHOW_clean,argon,293.0,5.0,14.0,NAHHOW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.90245e-06,chunk_1
BUVXOG_clean,argon,293.0,5.0,14.0,BUVXOG_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.53945e-06,chunk_1
ATAYEB_clean,argon,293.0,5.0,14.0,ATAYEB_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.62213e-06,chunk_1
PEKVUY_clean,argon,293.0,5.0,14.0,PEKVUY_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.39398e-06,chunk_1
cm503311x_alf400K_clean,argon,293.0,5.0,14.0,cm503311x_alf400K_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.06477e-06,chunk_1
CANRUG_clean,argon,293.0,5.0,14.0,CANRUG_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.09999e-06,chunk_1
PUBSEL_clean,argon,293.0,5.0,14.0,PUBSEL_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.49895e-06,chunk_1
TAWSUI_clean,argon,293.0,5.0,14.0,TAWSUI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.40201e-06,chunk_1
UZIZOU_clean,argon,293.0,5.0,14.0,UZIZOU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.83813e-06,chunk_1
XAKLIH_clean,argon,293.0,5.0,14.0,XAKLIH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.37712e-05,chunk_1
CISXEJ_clean,argon,293.0,5.0,14.0,CISXEJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.43621e-06,chunk_1
ic1010083_si_002_clean,argon,293.0,5.0,14.0,ic1010083_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.41296e-06,chunk_1
WIKLOT_clean,argon,293.0,5.0,14.0,WIKLOT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.64759e-06,chunk_1
UDAWUU_clean,argon,293.0,5.0,14.0,UDAWUU_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.80577e-06,chunk_1
IGORUS_clean,argon,293.0,5.0,14.0,IGORUS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.22134e-06,chunk_1
UZOBIW_clean,argon,293.0,5.0,14.0,UZOBIW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.24579e-06,chunk_1
PUBSAH_clean,argon,293.0,5.0,14.0,PUBSAH_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.42206e-06,chunk_1
QARLUT_clean,argon,293.0,5.0,14.0,QARLUT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.4667e-06,chunk_1
REHTUV_clean,argon,293.0,5.0,14.0,REHTUV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.000137185,chunk_1
UKOLOV_clean,argon,293.0,5.0,14.0,UKOLOV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.14068e-05,chunk_1
FECFAV_clean,argon,293.0,5.0,14.0,FECFAV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.38496e-07,chunk_1
BAMKOS_clean,argon,293.0,5.0,14.0,BAMKOS_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.01875e-06,chunk_1
SAKNOJ_clean,argon,293.0,5.0,14.0,SAKNOJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.28053e-06,chunk_1
PUSSEC_clean,argon,293.0,5.0,14.0,PUSSEC_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.28917e-06,chunk_1
UDAXIJ_clean,argon,293.0,5.0,14.0,UDAXIJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.10952e-06,chunk_1
PUBSOV_clean,argon,293.0,5.0,14.0,PUBSOV_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.62052e-05,chunk_1
OVADAR_clean,argon,293.0,5.0,14.0,OVADAR_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.15036e-05,chunk_1
ja0660047si20060818_060458_clean,argon,293.0,5.0,14.0,ja0660047si20060818_060458_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.13917e-05,chunk_1
POBJIB_clean,argon,293.0,5.0,14.0,POBJIB_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.56234e-05,chunk_1
ADUROI_clean,argon,293.0,5.0,14.0,ADUROI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.43018e-06,chunk_1
WAVRIW_clean,argon,293.0,5.0,14.0,WAVRIW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.06198e-05,chunk_1
HOGJET_clean,argon,293.0,5.0,14.0,HOGJET_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.56522e-06,chunk_1
ABETIN_clean,argon,293.0,5.0,14.0,ABETIN_clean_argon_293.0K_5.0bar_14.0/Output/System_0,3.42555e-06,chunk_1
cg5010616_si_003_clean,argon,293.0,5.0,14.0,cg5010616_si_003_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.86539e-06,chunk_1
AWOFOI_clean,argon,293.0,5.0,14.0,AWOFOI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.46062e-06,chunk_1
EPECOT_clean,argon,293.0,5.0,14.0,EPECOT_clean_argon_293.0K_5.0bar_14.0/Output/System_0,8.61874e-06,chunk_1
APAZOI_clean,argon,293.0,5.0,14.0,APAZOI_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.43411e-06,chunk_1
