MOF,. time (s)
YIPDOR_clean_argon_273.0K_0.1bar_14.,65.0
cm503311x_alf450K_clean_argon_273.0K_0.1bar_14.,145.5
SEFWAD_clean_argon_273.0K_0.1bar_14.,149.2
REXDAB_clean_argon_273.0K_0.1bar_14.,150.9
SEFBOV_clean_argon_273.0K_0.1bar_14.,156.4
VUKROK_clean_argon_273.0K_0.1bar_14.,159.0
cg500175k_si_001_auto_argon_273.0K_0.1bar_14.,176.9
UZAROE_clean_argon_273.0K_0.1bar_14.,186.6
JOVYAW_clean_argon_273.0K_0.1bar_14.,189.8
UMOYOM05_clean_argon_273.0K_0.1bar_14.,206.3
ABEXIQ_clean_argon_273.0K_0.1bar_14.,207.0
MUVHAN_clean_argon_273.0K_0.1bar_14.,208.1
GOSDEZ_clean_argon_273.0K_0.1bar_14.,222.8
RUWWOW_clean_argon_273.0K_0.1bar_14.,232.7
NIBHOW_clean_argon_273.0K_0.1bar_14.,78.2
ZASTUK_clean_argon_273.0K_0.1bar_14.,268.4
VUQJUN_clean_argon_273.0K_0.1bar_14.,271.0
LIKGUJ_clean_argon_273.0K_0.1bar_14.,278.2
ONIXOZ_clean_argon_273.0K_0.1bar_14.,310.1
SOBZOY_clean_argon_273.0K_0.1bar_14.,85.2
LUDLAZ_clean_argon_273.0K_0.1bar_14.,355.8
EDUVUU_clean_argon_273.0K_0.1bar_14.,212.1
KAKBUW_clean_argon_273.0K_0.1bar_14.,391.6
VOVLAV_clean_argon_273.0K_0.1bar_14.,175.5
OCAWAT_clean_argon_273.0K_0.1bar_14.,424.7
jz4002345_si_004_clean_argon_273.0K_0.1bar_14.,237.7
HAJMAH_clean_argon_273.0K_0.1bar_14.,295.1
OHUMIP_clean_argon_273.0K_0.1bar_14.,209.3
VEQCEA_charged_argon_273.0K_0.1bar_14.,284.3
WOMFIO_charged_argon_273.0K_0.1bar_14.,128.1
NAJTEA_clean_argon_273.0K_0.1bar_14.,285.3
IFEQAN_SL_argon_273.0K_0.1bar_14.,548.1
TONQOD_clean_argon_273.0K_0.1bar_14.,194.4
DOMGET_clean_argon_273.0K_0.1bar_14.,556.8
PENYOX_clean_argon_273.0K_0.1bar_14.,302.2
ADAVIM_clean_argon_273.0K_0.1bar_14.,589.6
TOXHEV_clean_argon_273.0K_0.1bar_14.,564.9
