name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
CUTBOK_clean,argon,273.0,0.01,14.0,CUTBOK_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0040991153,0.0164333333,0.163751457,0.0918774703,0.0983046061
WOPDEL_clean,argon,273.0,0.01,14.0,WOPDEL_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0065803332,0.0120388889,0.2628711522,0.1474914296,0.1784343701
IFEQAN_SL,argon,273.0,0.01,14.0,IFEQAN_SL_argon_273.0K_0.01bar_14.0/Output/System_0,0.0023160114,0.00685,0.0925200244,0.0519110239,0.0702167042
QOWRAV03_clean,argon,273.0,0.01,14.0,QOWRAV03_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.006859727,0.05825,0.2740323761,0.1537537557,0.1102694434
VICYUD_clean,argon,273.0,0.01,14.0,VICYUD_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0097043735,0.0264444444,0.3876703113,0.2175135915,0.2505734198
KUCDES_clean,argon,273.0,0.01,14.0,KUCDES_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0045082983,0.03701875,0.1800975019,0.1010488895,0.0758086539
QOYYOU_clean,argon,273.0,0.01,14.0,QOYYOU_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.007511329,0.61185,0.3000625691,0.168358745,0.1562737597
MIVWEU_manual,argon,273.0,0.01,14.0,MIVWEU_manual_argon_273.0K_0.01bar_14.0/Output/System_0,0.0022578234,0.10945,0.0901955274,0.0506067979,0.0794410387
MEFJOY_clean,argon,273.0,0.01,14.0,MEFJOY_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0071694367,0.0534375,0.2864046571,0.1606955802,0.1571853548
ZIWMEZ_clean,argon,273.0,0.01,14.0,ZIWMEZ_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.004760253,0.0095975,0.1901625881,0.106696196,0.1887675757
YOZBAS_clean,argon,273.0,0.01,14.0,YOZBAS_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0056616526,0.2558,0.2261716965,0.1269001432,0.1003366656
RUBTAK05_clean,argon,273.0,0.01,14.0,RUBTAK05_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0131116582,0.1143375,0.5237845214,0.2938843887,0.4768406838
XUZFUU_clean,argon,273.0,0.01,14.0,XUZFUU_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0052522905,0.0133625,0.2098185028,0.117724713,0.1820314252
MUVHAN_clean,argon,273.0,0.01,14.0,MUVHAN_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0251754477,0.0317194444,1.0057087845,0.564281874,0.5555050091
ADAVIM_clean,argon,273.0,0.01,14.0,ADAVIM_clean_argon_273.0K_0.01bar_14.0/Output/System_0,0.0037256549,0.02395,0.1488324616,0.0835067384,0.0532414125
