name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3
XICYUF_clean,argon,273.0,1.0,14.0,XICYUF_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3096081513,28.6393,12.3682264278,6.9395495943,6.8911671402
FUVDEH12_clean,argon,273.0,1.0,14.0,FUVDEH12_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3663511217,1.2830583333,14.6349946112,8.2113851577,13.6541636408
WEMYEU_clean,argon,273.0,1.0,14.0,WEMYEU_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5931414775,2.4663833333,23.6948157421,13.294658691,14.6902037313
WOPDEL_clean,argon,273.0,1.0,14.0,WOPDEL_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4557252752,0.8337611111,18.2053132955,10.2146152669,12.3575888155
HAJMAH_clean,argon,273.0,1.0,14.0,HAJMAH_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3013690429,0.4995194444,12.0390905241,6.7548784177,8.9719967436
VOCQEJ_clean,argon,273.0,1.0,14.0,VOCQEJ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8890266489,2.5851125,35.5148365707,19.9266217477,25.1471887656
YIPDOR_clean,argon,273.0,1.0,14.0,YIPDOR_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.412588625,0.57454375,16.4820903929,9.2477514353,4.1453082121
HITXUE_clean,argon,273.0,1.0,14.0,HITXUE_clean_argon_273.0K_1.0bar_14.0/Output/System_0,3.2670280565,9.5621666667,130.5112368017,73.2270876254,106.8739208957
IMUKUW_clean,argon,273.0,1.0,14.0,IMUKUW_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.38113894,18.40895,15.2257383763,8.5428389583,5.12778835
KAKBUW_clean,argon,273.0,1.0,14.0,KAKBUW_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5060019098,5.22535,20.2137642946,11.3415145356,10.7459404689
ISENUQ_clean,argon,273.0,1.0,14.0,ISENUQ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5647145993,2.274509375,22.5592188112,12.6574993321,16.5113217332
QOFDIA03_clean,argon,273.0,1.0,14.0,QOFDIA03_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3636083642,2.44459375,14.5254269326,8.1499090566,10.858542744
LAFRAN01_clean,argon,273.0,1.0,14.0,LAFRAN01_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.7769528533,88.24235,31.0377125845,17.4146024114,12.5903623979
VUJBOS_clean,argon,273.0,1.0,14.0,VUJBOS_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4890390946,18.00515,19.5361337518,10.9613104064,5.6572033379
LAMGUB_clean,argon,273.0,1.0,14.0,LAMGUB_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.111558688,0.30274375,4.4565464688,2.5004737276,3.9233742985
TONQOD_clean,argon,273.0,1.0,14.0,TONQOD_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.6869138559,0.9415125,27.4408347166,15.3964705074,11.2687620857
XUVGUQ01_ion_b,argon,273.0,1.0,14.0,XUVGUQ01_ion_b_argon_273.0K_1.0bar_14.0/Output/System_0,0.3662728282,1.4816583333,14.6318669419,8.2096302888,19.497542679
VUQKUO_clean,argon,273.0,1.0,14.0,VUQKUO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3335081021,1.485225,13.3229816619,7.4752425117,9.752520092
MEFJOY_clean,argon,273.0,1.0,14.0,MEFJOY_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.6633045437,4.94395,26.497689912,14.8672919559,14.5425316421
SUNLET_clean,argon,273.0,1.0,14.0,SUNLET_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4182147142,3.1647625,16.7068414025,9.3738544612,5.8264600695
IFEQAN_SL,argon,273.0,1.0,14.0,IFEQAN_SL_argon_273.0K_1.0bar_14.0/Output/System_0,0.2246953711,0.664575,8.976130685,5.0363165986,6.8123016293
TINFIH_clean,argon,273.0,1.0,14.0,TINFIH_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1113566763,0.2993944444,4.4484765032,2.495945841,6.148979476
QOWRAV03_clean,argon,273.0,1.0,14.0,QOWRAV03_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.6286969281,5.3386375,25.1151848832,14.0915976987,10.1062418104
KEGZOL04_clean,argon,273.0,1.0,14.0,KEGZOL04_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.2716909233,0.2532425926,10.8535090043,6.0896737659,5.9967072197
jz4002345_si_004_clean,argon,273.0,1.0,14.0,jz4002345_si_004_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4746071411,0.789775,18.9596060711,10.6378329494,12.9419535425
FIMYUX_clean,argon,273.0,1.0,14.0,FIMYUX_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3859614067,3.865275,15.418386275,8.6509296094,9.870471681
POLNAG_clean,argon,273.0,1.0,14.0,POLNAG_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3488309499,0.259975,13.9350987849,7.8186884501,11.2699697732
cg500175k_si_001_auto,argon,273.0,1.0,14.0,cg500175k_si_001_auto_argon_273.0K_1.0bar_14.0/Output/System_0,0.4453092043,6.70735,17.789212095,9.9811497062,5.142729403
WOMFIO_charged,argon,273.0,1.0,14.0,WOMFIO_charged_argon_273.0K_1.0bar_14.0/Output/System_0,0.2382339401,0.3245277778,9.5169694405,5.3397697564,6.7571200633
ZIWMEZ_clean,argon,273.0,1.0,14.0,ZIWMEZ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3850349077,0.7762975,15.3813744945,8.6301630841,15.2685383799
VONCIM_clean,argon,273.0,1.0,14.0,VONCIM_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4179169836,1.0001416667,16.6949476621,9.3671811356,13.4511315805
IKUTUF_clean,argon,273.0,1.0,14.0,IKUTUF_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5657526241,4.0389,22.6006858262,12.680765595,14.0713525508
PENYOX_clean,argon,273.0,1.0,14.0,PENYOX_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.1113573425,1.45558125,44.3965031169,24.909936521,51.2246669344
SEHSOO_clean,argon,273.0,1.0,14.0,SEHSOO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5488625621,0.8168111111,21.9259616321,12.3021921564,16.6938776276
HANKEO_clean,argon,273.0,1.0,14.0,HANKEO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5054067366,38.4844,20.1899883153,11.3281743377,10.8490072639
HAPVAX_clean,argon,273.0,1.0,14.0,HAPVAX_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.2364236759,0.9308416667,9.4446530061,5.2991945385,14.5874595578
QOJKAB_clean,argon,273.0,1.0,14.0,QOJKAB_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3718072693,0.827315625,14.8529567942,8.333679117,9.7149907038
XOBXIW_clean,argon,273.0,1.0,14.0,XOBXIW_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3465522104,0.6185055556,13.8440677011,7.7676128392,14.7080737011
UKUBIM_clean,argon,273.0,1.0,14.0,UKUBIM_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.0796974343,2.6907805556,43.1317531056,24.2003121072,26.4520144771
DOMGET_clean,argon,273.0,1.0,14.0,DOMGET_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.7104964769,3.1592166667,28.3829132612,15.9250508031,19.0205640321
KUCDES_clean,argon,273.0,1.0,14.0,KUCDES_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3836742275,3.15044375,15.3270180412,8.5996648307,6.451619788
TURBUE_clean,argon,273.0,1.0,14.0,TURBUE_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.0271376771,17.56643125,41.0320959263,23.0222389848,71.3385532908
RUWWOW_clean,argon,273.0,1.0,14.0,RUWWOW_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.6886876352,0.6034527778,27.5116936506,15.4362279528,22.9342195936
CUTBOK_clean,argon,273.0,1.0,14.0,CUTBOK_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3903139316,1.5647666667,15.5922609407,8.7484869975,9.3604728669
SEFBOV_clean,argon,273.0,1.0,14.0,SEFBOV_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.501653024,0.7685222222,20.0400350021,11.2440387133,11.5300499684
EBUQEX_clean,argon,273.0,1.0,14.0,EBUQEX_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.1578331608,3.76415,46.253119106,25.951644385,23.1145870357
OBAFIJ_clean,argon,273.0,1.0,14.0,OBAFIJ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.2135544895,1.09940625,8.5310747449,4.7866051475,11.4347140982
OHUMIP_clean,argon,273.0,1.0,14.0,OHUMIP_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1239027017,2.061825,4.949665128,2.7771521512,3.7448664201
VUKROK_clean,argon,273.0,1.0,14.0,VUKROK_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3959923894,0.521053125,15.8191039721,8.8757638124,6.1796825242
MUVHAN_clean,argon,273.0,1.0,14.0,MUVHAN_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.6084595516,2.0265555556,64.2547421658,36.0519733797,35.4912194109
XUZFUU_clean,argon,273.0,1.0,14.0,XUZFUU_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.4743078768,1.2067,18.9476510632,10.6311252479,16.4383401858
MIVWEU_manual,argon,273.0,1.0,14.0,MIVWEU_manual_argon_273.0K_1.0bar_14.0/Output/System_0,0.2038100733,9.879875,8.1418048072,4.5681940395,7.1710144524
GOSDEZ_clean,argon,273.0,1.0,14.0,GOSDEZ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.455048194,2.6324375,18.1782652551,10.1994391849,10.0684360402
SUFJIO_clean,argon,273.0,1.0,14.0,SUFJIO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.0552906471,3.6390444444,42.1567507704,23.6532589708,27.6444125383
RIVDEH_clean,argon,273.0,1.0,14.0,RIVDEH_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8232434471,93.4998,32.8869292252,18.4521586579,13.3394272657
FILYAC_clean,argon,273.0,1.0,14.0,FILYAC_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.6166513253,3.1728,24.6339871431,13.82160785,17.3189929266
WENKIL_manual,argon,273.0,1.0,14.0,WENKIL_manual_argon_273.0K_1.0bar_14.0/Output/System_0,0.3026313371,0.820028125,12.0895166538,6.7831714498,10.3318464149
MIZZOM_clean,argon,273.0,1.0,14.0,MIZZOM_clean_argon_273.0K_1.0bar_14.0/Output/System_0,4.9405071039,7.1743666667,197.3633777854,110.7364064069,242.1341971875
RIVDIL_clean,argon,273.0,1.0,14.0,RIVDIL_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8059645427,91.53735,32.1966715534,18.0648697144,12.8543776919
XOPVOO_clean,argon,273.0,1.0,14.0,XOPVOO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,3.6947322753,3.9809108333,147.5971649332,82.8136396122,265.6866722118
ONIXOZ_clean,argon,273.0,1.0,14.0,ONIXOZ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.7211776073,2.1780958333,28.8096030573,16.1644574002,14.704848981
QAJJOD_clean,argon,273.0,1.0,14.0,QAJJOD_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.9256509524,25.79795,76.9259042446,43.1614937444,49.4992470703
HUSJUC_clean,argon,273.0,1.0,14.0,HUSJUC_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5789629615,1.1491229167,23.1284123873,12.9768617785,20.7521899049
KIFKEQ_clean,argon,273.0,1.0,14.0,KIFKEQ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.1510501589,1.8268305556,45.9821517492,25.7996103467,24.0783621683
KOSLEL_clean,argon,273.0,1.0,14.0,KOSLEL_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3375729881,0.3154466667,13.4853657268,7.5663527673,9.1027203478
VAKBIU_clean,argon,273.0,1.0,14.0,VAKBIU_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.968653159,2.7527416667,38.6957563957,21.7113684136,22.4313203671
HEHCOO_clean,argon,273.0,1.0,14.0,HEHCOO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1948236272,0.98355,7.7828142579,4.3667720543,3.7917726788
NAJTEA_clean,argon,273.0,1.0,14.0,NAJTEA_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8665170367,3.4536055556,34.6156225822,19.4220918455,23.8084436439
QOFCEV_clean,argon,273.0,1.0,14.0,QOFCEV_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3598080625,2.41904375,14.3736124816,8.0647291871,10.7041802447
YOZBAS_clean,argon,273.0,1.0,14.0,YOZBAS_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.525604097,23.7474,20.9968324671,11.7808774831,9.3148355426
ZASTUK_clean,argon,273.0,1.0,14.0,ZASTUK_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.824647568,1.0857777778,32.943021048,18.4836305903,22.8149174545
VOVLAV_clean,argon,273.0,1.0,14.0,VOVLAV_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.302553528,1.4695916667,12.0864083349,6.781427438,12.3652571851
LIKGUJ_clean,argon,273.0,1.0,14.0,LIKGUJ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8440906094,13.9154,33.719731663,18.9194264471,19.5107186969
ZUCKIT_clean,argon,273.0,1.0,14.0,ZUCKIT_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5369343876,23.67515,21.449454915,12.0348343412,6.4324236001
ic5030058_si_002_clean,argon,273.0,1.0,14.0,ic5030058_si_002_clean_argon_273.0K_1.0bar_14.0/Output/System_0,5.5780561076,39.27755625,222.8321853871,125.0264143148,271.1177205353
HOVQUG_clean,argon,273.0,1.0,14.0,HOVQUG_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.2509455772,13.7142125,49.9727739197,28.0386638299,46.0355127158
EMIHAK_charged,argon,273.0,1.0,14.0,EMIHAK_charged_argon_273.0K_1.0bar_14.0/Output/System_0,0.7032801623,10.9800625,28.094635924,15.7633045018,23.4036152511
UHOHEG_clean,argon,273.0,1.0,14.0,UHOHEG_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.8088524548,8.1079916667,72.2600378627,40.543575052,73.9121715702
JOVYAW_clean,argon,273.0,1.0,14.0,JOVYAW_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8700682975,0.7801888889,34.7574883474,19.5016897183,25.7572609292
JUKNUA_clean,argon,273.0,1.0,14.0,JUKNUA_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.0380240964,1.343525,1.5189866041,0.8522711752,2.9846673826
NUDLAA_clean,argon,273.0,1.0,14.0,NUDLAA_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.8871276515,4.465825,35.4389754213,19.8840576653,20.3456631148
UMOYOM05_clean,argon,273.0,1.0,14.0,UMOYOM05_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5906308379,4.825475,23.5945207106,13.2383852755,8.0986159163
MOBBIO_clean,argon,273.0,1.0,14.0,MOBBIO_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3083070462,0.3100592593,12.3162498831,6.9103866572,6.7810248931
ZAZNUL_clean,argon,273.0,1.0,14.0,ZAZNUL_clean_argon_273.0K_1.0bar_14.0/Output/System_0,2.0799148784,194.8045,83.0884395628,46.6191616418,53.5076336817
SEFWAD_clean,argon,273.0,1.0,14.0,SEFWAD_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.232051451,0.63378125,9.2699913655,5.2011955955,4.732505642
c6ce00407e_c6ce00407e5_clean,argon,273.0,1.0,14.0,c6ce00407e_c6ce00407e5_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.968897785,37.03565,38.7055287171,21.716851456,1.236140918
TOXHEV_clean,argon,273.0,1.0,14.0,TOXHEV_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.7196980298,1.932490625,28.7504968962,16.1312941865,16.8107665028
BALPAH_clean,argon,273.0,1.0,14.0,BALPAH_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1410297485,4.5080875,5.6338563911,3.1610373615,5.7541087071
WOBHEB01_clean,argon,273.0,1.0,14.0,WOBHEB01_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3486494576,0.339845,13.9278485306,7.8146204862,9.5983614729
OHEMIX_clean,argon,273.0,1.0,14.0,OHEMIX_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3078877595,0.2906430556,12.2995002169,6.9009887746,9.2566446653
BEKYOG_clean,argon,273.0,1.0,14.0,BEKYOG_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1629356582,0.3114388889,6.5089536736,3.6520358912,7.6287298713
YIWLUL_clean,argon,273.0,1.0,14.0,YIWLUL_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.1521598339,0.1574430556,6.0784810451,3.4105068271,4.5796951539
JONKEE_clean,argon,273.0,1.0,14.0,JONKEE_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.2954467967,22.65185,11.8025086334,6.6221373353,8.1166801851
c5ce00010f_c5ce00010f2_clean,argon,273.0,1.0,14.0,c5ce00010f_c5ce00010f2_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.282627273,2.7768416667,11.2903943027,6.3348008431,7.5499207448
DOTFID_clean,argon,273.0,1.0,14.0,DOTFID_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5364758128,4.5590375,21.4311357704,12.0245558577,9.586274419
RAXYOF_clean,argon,273.0,1.0,14.0,RAXYOF_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.3564529744,0.4979125,14.2395834194,7.9895283223,10.3865452379
LUDLAZ_clean,argon,273.0,1.0,14.0,LUDLAZ_clean_argon_273.0K_1.0bar_14.0/Output/System_0,1.5895297169,2.868135,63.4985331294,35.627680524,58.2560625827
XALBOC_clean,argon,273.0,1.0,14.0,XALBOC_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.5465723105,8.3043,21.83447066,12.250858512,10.681640166
ACIBIY_clean,argon,273.0,1.0,14.0,ACIBIY_clean_argon_273.0K_1.0bar_14.0/Output/System_0,0.2809558094,1.506725,11.223622675,6.2973366987,10.9269098437
IXEDUK_charged,argon,273.0,1.0,14.0,IXEDUK_charged_argon_273.0K_1.0bar_14.0/Output/System_0,0.4979579079,3.0628875,19.8924225029,11.1612164699,10.4879213211
