Feature,Importance
5,34.13245308242697
0.01,5.992605218839915
PLD_y,4.848910334462149
ASA_m2_cm3_x,3.758428177575559
cm3_g_x,3.737160437497586
ASA_m2_g_y,3.7250267493786393
LCD_x,3.7139051068747158
AV_VF_y,3.6882956651184786
Has_OMS_x,3.409465654911972
cm3_g_y,3.339386228006355
AV_VF_x,3.315014941004179
ASA_m2_g_x,3.220527520584019
LCD_y,3.213679668102528
AV_cm3_g_x,3.1672820998399813
PLD_x,3.0997602347145428
ASA_m2_cm3_y,2.838846638038742
LFPD_y,2.38952968268603
LFPD_x,2.227106131516996
Has_OMS_y,2.1396094622593838
AV_cm3_g_y,1.9620231329033413
NASA_m2_g_y,0.49578313101925875
NASA_m2_cm3_y,0.46648070381144957
NASA_m2_cm3_x,0.453010120355207
NASA_m2_g_x,0.42464196241981367
NAV_cm3_g_y,0.14630994542121586
NAV_cm3_g_x,0.09475797023098442
