Feature,Importance
5,62.34606697677354
0.01_x,14.209307986824152
0.01_y,13.639525926119735
AV_cm3_g_y,1.1525547300022683
AV_cm3_g_x,0.9298163704345803
LCD_y,0.7084082357239417
cm3_g_x,0.6532308957695732
ASA_m2_cm3_y,0.63031414154048
LFPD_x,0.591064027296911
LFPD_y,0.582066829148956
ASA_m2_cm3_x,0.5612353803972299
Has_OMS_x,0.5448631628733119
AV_VF_x,0.46751213086469173
AV_VF_y,0.3855195131650914
ASA_m2_g_y,0.3640764052122974
PLD_x,0.35051016879274666
PLD_y,0.30561271682683855
cm3_g_y,0.2726067327174047
ASA_m2_g_x,0.26562954413371687
Has_OMS_y,0.23960754055657082
NASA_m2_g_y,0.23207834891088167
LCD_x,0.14402069615969582
NASA_m2_cm3_y,0.11764628514262329
NASA_m2_cm3_x,0.11578727673820496
NASA_m2_g_x,0.10391713676347727
NAV_cm3_g_x,0.057792365888852636
NAV_cm3_g_y,0.029228475222251544
