iter	Passed	Remaining
0	49	49861
1	52	26066
2	54	18097
3	56	14100
4	58	11711
5	61	10118
6	63	8986
7	65	8140
8	67	7470
9	70	6934
10	72	6500
11	74	6135
12	76	5819
13	78	5553
14	81	5325
15	83	5119
16	85	4942
17	87	4784
18	89	4640
19	92	4514
20	94	4402
21	96	4296
22	98	4202
23	101	4115
24	103	4032
25	105	3958
26	107	3890
27	110	3824
28	112	3767
29	114	3710
30	117	3660
31	119	3609
32	121	3561
33	123	3516
34	126	3474
35	128	3433
36	130	3393
37	132	3357
38	134	3322
39	137	3288
40	139	3256
41	141	3225
42	143	3197
43	145	3170
44	148	3143
45	150	3120
46	152	3097
47	155	3075
48	157	3053
49	159	3032
50	161	3011
51	164	2990
52	166	2970
53	168	2952
54	170	2935
55	173	2918
56	175	2899
57	177	2882
58	179	2864
59	181	2848
60	184	2833
61	186	2817
62	188	2802
63	190	2788
64	192	2774
65	195	2762
66	197	2748
67	199	2736
68	201	2724
69	204	2712
70	206	2701
71	208	2688
72	210	2676
73	213	2666
74	215	2655
75	217	2645
76	219	2636
77	222	2625
78	224	2615
79	226	2605
80	228	2596
81	231	2586
82	233	2577
83	235	2567
84	237	2558
85	239	2549
86	242	2541
87	244	2532
88	246	2524
89	248	2516
90	251	2508
91	253	2500
92	255	2492
93	257	2485
94	260	2477
95	262	2469
96	264	2461
97	266	2454
98	268	2447
99	271	2440
100	273	2433
101	275	2426
102	277	2419
103	280	2412
104	282	2406
105	284	2400
106	286	2392
107	288	2386
108	291	2380
109	294	2379
110	296	2377
111	299	2371
112	301	2365
113	303	2360
114	305	2354
115	308	2348
116	310	2342
117	312	2337
118	314	2331
119	317	2326
120	319	2320
121	321	2315
122	323	2310
123	326	2304
124	328	2299
125	330	2293
126	332	2288
127	335	2282
128	337	2277
129	339	2271
130	341	2266
131	344	2262
132	346	2257
133	348	2251
134	350	2246
135	352	2240
136	354	2235
137	357	2230
138	359	2225
139	361	2220
140	363	2215
141	365	2210
142	368	2206
143	370	2201
144	372	2197
145	374	2192
146	376	2187
147	379	2183
148	381	2178
149	383	2174
150	385	2168
151	387	2164
152	390	2159
153	392	2155
154	394	2150
155	396	2145
156	398	2141
157	401	2137
158	403	2133
159	405	2128
160	407	2124
161	409	2120
162	412	2116
163	414	2111
164	416	2107
165	418	2102
166	420	2098
167	422	2093
168	424	2089
169	427	2085
170	429	2081
171	431	2077
172	433	2073
173	436	2069
174	438	2066
175	440	2062
176	442	2058
177	445	2055
178	447	2051
179	449	2047
180	451	2044
181	453	2040
182	456	2036
183	458	2032
184	460	2028
185	462	2025
186	464	2021
187	467	2018
188	469	2014
189	471	2011
190	473	2007
191	476	2003
192	478	2000
193	480	1996
194	482	1993
195	484	1989
196	487	1985
197	489	1982
198	491	1979
199	493	1975
200	496	1971
201	498	1968
202	500	1964
203	502	1961
204	504	1957
205	507	1954
206	509	1950
207	511	1947
208	513	1944
209	515	1941
210	518	1937
211	520	1934
212	522	1930
213	524	1927
214	526	1923
215	529	1920
216	531	1916
217	533	1913
218	535	1910
219	537	1907
220	540	1903
221	542	1900
222	544	1897
223	546	1894
224	549	1891
225	551	1888
226	553	1885
227	555	1882
228	558	1879
229	560	1875
230	562	1872
231	564	1869
232	566	1866
233	569	1862
234	571	1859
235	573	1855
236	575	1852
237	577	1849
238	579	1846
239	582	1843
240	584	1840
241	586	1836
242	588	1833
243	590	1830
244	592	1827
245	595	1823
246	597	1820
247	599	1817
248	601	1814
249	603	1811
250	606	1809
251	608	1806
252	610	1803
253	613	1800
254	615	1797
255	617	1794
256	619	1791
257	621	1788
258	624	1785
259	626	1782
260	628	1779
261	630	1776
262	632	1773
263	635	1770
264	637	1767
265	639	1764
266	641	1761
267	643	1758
268	646	1755
269	648	1752
270	650	1750
271	652	1747
272	654	1744
273	657	1741
274	659	1738
275	661	1735
276	663	1733
277	666	1730
278	668	1727
279	670	1724
280	673	1722
281	675	1719
282	677	1716
283	679	1713
284	682	1711
285	684	1708
286	686	1705
287	688	1702
288	690	1699
289	693	1696
290	695	1693
291	697	1691
292	699	1688
293	701	1685
294	704	1682
295	706	1679
296	708	1677
297	710	1674
298	713	1671
299	715	1669
300	717	1666
301	719	1663
302	722	1660
303	724	1658
304	726	1655
305	728	1652
306	730	1649
307	732	1646
308	735	1643
309	737	1640
310	739	1638
311	741	1635
312	743	1632
313	746	1629
314	748	1627
315	750	1624
316	752	1622
317	755	1619
318	757	1617
319	759	1614
320	761	1611
321	764	1609
322	766	1607
323	769	1604
324	771	1602
325	773	1599
326	775	1596
327	778	1594
328	780	1591
329	782	1588
330	784	1586
331	786	1583
332	789	1580
333	791	1578
334	793	1575
335	795	1572
336	798	1570
337	800	1567
338	802	1564
339	804	1561
340	806	1558
341	808	1556
342	811	1553
343	813	1551
344	815	1548
345	817	1545
346	820	1543
347	822	1540
348	824	1538
349	826	1535
350	829	1532
351	831	1530
352	833	1527
353	835	1524
354	837	1522
355	839	1519
356	842	1516
357	844	1514
358	846	1511
359	848	1508
360	850	1506
361	853	1503
362	855	1500
363	857	1498
364	859	1495
365	862	1493
366	864	1490
367	866	1488
368	868	1485
369	870	1482
370	873	1480
371	875	1477
372	877	1474
373	879	1472
374	881	1469
375	883	1466
376	886	1464
377	888	1461
378	890	1459
379	892	1456
380	895	1454
381	897	1451
382	899	1449
383	901	1446
384	904	1444
385	906	1441
386	908	1439
387	910	1436
388	913	1434
389	915	1431
390	917	1429
391	919	1426
392	921	1423
393	924	1421
394	926	1418
395	928	1416
396	930	1413
397	933	1411
398	935	1408
399	937	1406
400	939	1403
401	942	1401
402	944	1398
403	946	1396
404	948	1394
405	951	1391
406	953	1389
407	955	1386
408	957	1382
409	959	1380
410	961	1378
411	963	1375
412	965	1372
413	968	1370
414	970	1367
415	972	1365
416	974	1362
417	976	1360
418	979	1357
419	981	1355
420	983	1352
421	985	1350
422	988	1347
423	990	1345
424	992	1342
425	994	1340
426	996	1337
427	999	1335
428	1001	1332
429	1003	1330
