train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.05,0.0,2025,0.7818770839820587,0.051147594545618076,0.03667052399848472,8.476259093113208
0.05,0.0,2026,0.8733039247487917,0.04278008694567842,0.020954130510896177,10.154824620644815
0.05,0.0,2027,0.8487912320549871,0.04780596442554402,0.025133849085688883,11.258313430864755
0.05,0.0,2028,0.8120023458811466,0.049662987365186165,0.031451851004894796,12.07239188443351
0.05,0.0,2029,0.8389168142354245,0.04685259041569685,0.026869007523121363,9.928159396421753
0.05,0.03,2025,0.92561938426111,0.03848984887518694,0.011124121875189658,8.768839860049834
0.05,0.03,2026,0.9346414560163548,0.03649979474735977,0.009849812475199105,8.1190598260603
0.05,0.03,2027,0.9524573370818742,0.03640072264332725,0.006712533158419057,8.071193757130679
0.05,0.03,2028,0.9199797923486834,0.03891457368565348,0.012445561479250345,8.289114096552805
0.05,0.03,2029,0.9097025496544414,0.03887358200355962,0.014022275702059387,8.19190868452966
0.05,0.05,2025,0.9478509075970237,0.03650387660676738,0.007299848938010534,7.83808476319501
0.05,0.05,2026,0.9437923303247711,0.03976960801146129,0.007798356648236542,8.923553008825966
0.05,0.05,2027,0.948948120680942,0.03734408927549228,0.006843549345797334,8.318864181012012
0.05,0.05,2028,0.9406918607388479,0.03504139967528464,0.008695661987293811,7.037417455423123
0.05,0.05,2029,0.9368062427384654,0.0379649791879976,0.00905954259043905,8.01404651255297
0.1,0.0,2025,0.9038988246659863,0.034766214716090864,0.016062143009506764,7.000146337230436
0.1,0.0,2026,0.9081227775663147,0.03520503467075414,0.015216286286685336,7.695207694533362
0.1,0.0,2027,0.8805145061527411,0.038467229510923504,0.01980295403162239,7.26522318610278
0.1,0.0,2028,0.8902856695836026,0.035390382108993805,0.01843710415805777,6.171786128480641
0.1,0.0,2029,0.9244104786804794,0.0354715175940397,0.012223194569944702,7.003244753834337
0.1,0.05,2025,0.9576640298549206,0.029068435517333405,0.005882610382778866,5.720287957121201
0.1,0.05,2026,0.9553325877980166,0.03084684002716502,0.0062363596152179585,5.819733112482017
0.1,0.05,2027,0.9592441750518017,0.029213803360391113,0.005502624065173192,5.836382391110592
0.1,0.05,2028,0.9419612526937094,0.030532611412478775,0.008531626044638954,5.573144543794119
0.1,0.05,2029,0.9374799391182504,0.03035809167567609,0.009028604554977032,5.788478890927172
0.1,0.1,2025,0.9541502336633068,0.029937746792545506,0.005288640570707126,5.881876701229213
0.1,0.1,2026,0.9659216497387676,0.02777489374551931,0.00400784626038342,5.551099357258808
0.1,0.1,2027,0.9712691348945929,0.028347424377582194,0.0032918208043374825,5.644567919304972
0.1,0.1,2028,0.9632419416152326,0.02864549145504028,0.004261444482047929,5.467343183660843
0.1,0.1,2029,0.9609779723773465,0.027804482758938622,0.004663172442588192,5.318234903270972
0.15,0.0,2025,0.8927570918796751,0.033806149212865025,0.01842218889922786,5.831040432612758
0.15,0.0,2026,0.9244175760083602,0.030881176935516758,0.01228250813664381,5.8646837028121075
0.15,0.0,2027,0.93182114303129,0.03173631360408514,0.011042336825268693,6.089256145678081
0.15,0.0,2028,0.9299807399747655,0.031147350072186792,0.011022557211873906,6.2448923879803
0.15,0.0,2029,0.9036375708004973,0.03281629407676412,0.016309197656542936,5.744284259735455
0.15,0.07,2025,0.9686238901832278,0.027204737103764424,0.003977021581100261,5.09928974217624
0.15,0.07,2026,0.9564192020683481,0.027142108016460536,0.005611039001538404,5.0423335102170705
0.15,0.07,2027,0.96206179769037,0.026143572481594848,0.004795712457089239,4.976302394231135
0.15,0.07,2028,0.9615709848274399,0.026661398193654432,0.005017981580952015,4.9930810351984745
0.15,0.07,2029,0.9621096419073236,0.027161413180590992,0.005178599214095671,5.130500739226033
0.15,0.15,2025,0.9792938486943125,0.024208350006035377,0.0019609108884185507,4.76587977393622
