iter	Passed	Remaining
0	49	49680
1	52	25957
2	54	18049
3	56	14079
4	58	11705
5	61	10114
6	63	8968
7	65	8110
8	67	7453
9	69	6926
10	70	6371
11	73	6013
12	75	5714
13	77	5458
14	79	5238
15	81	5041
16	84	4872
17	86	4717
18	88	4581
19	90	4457
20	93	4346
21	95	4240
22	97	4145
23	99	4061
24	102	3980
25	104	3910
26	106	3841
27	108	3777
28	111	3717
29	113	3665
30	115	3612
31	117	3562
32	120	3516
33	122	3473
34	124	3431
35	126	3391
36	128	3354
37	131	3317
38	133	3282
39	135	3247
40	137	3216
41	139	3186
42	142	3160
43	144	3133
44	146	3108
45	148	3084
46	150	3061
47	153	3037
48	155	3015
49	157	2995
50	159	2976
51	162	2955
52	164	2934
53	166	2915
54	168	2898
55	170	2881
56	173	2863
57	175	2848
58	177	2832
59	179	2816
60	181	2800
61	184	2785
62	186	2769
63	188	2755
64	190	2741
65	192	2729
66	195	2716
67	197	2704
68	199	2690
69	201	2679
70	203	2667
71	206	2656
72	208	2645
73	210	2634
74	212	2623
75	214	2613
76	217	2604
77	219	2593
78	221	2583
79	223	2572
80	225	2563
81	229	2573
82	231	2563
83	234	2553
84	236	2544
85	238	2535
86	240	2526
87	242	2517
88	245	2510
89	247	2503
90	249	2495
91	251	2487
92	254	2479
93	256	2471
94	258	2463
95	260	2455
96	263	2448
97	265	2440
98	267	2431
99	269	2422
100	271	2415
101	273	2407
102	275	2400
103	277	2393
104	279	2386
105	282	2379
106	284	2373
107	286	2368
108	288	2361
109	291	2354
110	293	2347
111	295	2341
112	297	2335
113	299	2328
114	301	2322
115	303	2316
116	306	2310
117	308	2304
118	310	2298
119	312	2293
120	314	2287
121	316	2281
122	319	2274
123	321	2269
124	323	2263
125	325	2257
126	327	2252
127	329	2247
128	332	2241
129	334	2237
130	336	2232
131	338	2227
132	340	2222
133	343	2217
134	345	2212
135	347	2207
136	349	2202
137	351	2198
138	354	2193
139	356	2189
140	358	2184
141	360	2179
142	362	2174
143	365	2169
144	367	2165
145	369	2161
146	371	2156
147	373	2152
148	376	2148
149	378	2143
150	380	2139
151	382	2135
152	384	2130
153	387	2126
154	389	2122
155	391	2118
156	393	2114
157	395	2110
158	398	2105
159	400	2101
160	402	2097
161	404	2093
162	407	2089
163	409	2085
164	411	2081
165	413	2077
166	415	2073
167	417	2070
168	420	2066
169	422	2062
170	424	2059
171	427	2055
172	429	2052
173	431	2048
174	433	2044
175	435	2040
176	437	2036
177	440	2032
178	442	2028
179	444	2025
180	446	2021
181	448	2017
182	451	2014
183	453	2011
184	455	2007
185	457	2004
186	460	2000
187	462	1996
188	464	1992
189	466	1989
190	468	1986
191	471	1982
192	473	1978
193	475	1974
194	477	1971
195	479	1967
196	481	1963
197	484	1960
198	486	1957
199	488	1953
200	490	1950
201	492	1947
202	495	1943
203	497	1940
204	499	1937
205	501	1934
206	504	1931
207	506	1928
208	508	1925
209	511	1922
210	513	1919
211	515	1915
212	517	1911
213	519	1908
214	521	1905
215	524	1902
216	526	1899
217	528	1896
218	530	1893
219	533	1890
220	535	1887
221	537	1884
222	539	1881
223	541	1877
224	544	1874
225	546	1870
226	548	1867
227	550	1864
228	552	1860
229	554	1857
230	556	1853
231	558	1850
232	561	1846
233	563	1843
234	565	1840
235	567	1837
236	569	1833
237	571	1830
238	573	1827
239	575	1823
240	578	1820
241	580	1818
242	582	1815
243	585	1812
244	587	1809
245	589	1805
246	591	1802
247	593	1799
248	595	1796
249	597	1793
250	599	1790
251	602	1787
252	604	1784
253	606	1781
254	608	1778
255	610	1774
256	613	1772
257	615	1769
258	617	1767
259	619	1764
260	622	1761
261	624	1758
262	626	1756
263	628	1752
264	630	1749
265	633	1747
266	635	1744
267	637	1741
268	639	1738
269	641	1735
270	644	1732
271	646	1729
272	648	1726
273	650	1723
274	652	1720
275	654	1717
276	657	1715
277	659	1712
278	661	1709
279	663	1706
280	665	1703
281	668	1701
282	670	1698
283	672	1695
284	674	1693
285	676	1690
286	679	1687
287	681	1684
288	683	1681
289	685	1679
290	687	1676
291	690	1673
292	692	1670
293	694	1667
294	696	1665
295	698	1662
296	701	1659
297	703	1656
298	705	1654
299	707	1651
300	710	1649
301	712	1646
302	714	1643
303	716	1641
304	718	1638
305	721	1636
306	723	1633
307	725	1630
308	728	1628
309	730	1625
310	732	1622
311	734	1619
312	736	1617
313	739	1614
314	741	1612
315	743	1609
316	745	1606
317	747	1604
318	750	1601
319	752	1598
320	754	1596
321	756	1593
322	758	1590
323	760	1587
324	763	1584
325	765	1582
326	767	1579
327	769	1576
328	771	1574
329	774	1571
330	776	1569
331	778	1566
332	780	1563
333	782	1560
334	784	1557
335	786	1554
336	789	1552
337	791	1549
338	793	1546
339	795	1544
340	797	1541
341	799	1539
342	802	1536
343	804	1533
344	806	1531
345	808	1528
346	810	1525
347	812	1523
348	815	1520
349	817	1517
350	819	1515
351	821	1512
352	823	1509
353	825	1507
354	828	1504
355	830	1501
356	832	1499
357	834	1496
358	837	1494
359	839	1491
360	841	1489
361	843	1486
362	845	1484
363	847	1481
364	850	1479
365	852	1476
366	854	1474
367	856	1471
368	858	1468
369	861	1466
370	863	1463
371	865	1461
372	867	1458
373	869	1456
374	872	1453
375	874	1450
376	876	1448
377	878	1445
378	880	1442
379	882	1440
380	885	1437
381	887	1435
382	889	1432
383	891	1430
384	893	1427
385	895	1425
386	898	1422
387	900	1419
388	902	1417
389	904	1415
390	906	1412
391	909	1410
392	911	1407
393	913	1405
394	915	1402
395	918	1400
396	920	1397
397	922	1395
398	924	1392
399	926	1390
400	929	1387
401	931	1385
402	933	1382
403	935	1380
404	937	1377
405	940	1375
406	942	1372
407	944	1370
408	946	1367
409	948	1365
410	950	1362
411	952	1360
412	955	1357
413	957	1355
414	959	1352
415	961	1349
416	963	1347
417	966	1345
418	968	1342
419	970	1340
420	972	1337
421	974	1334
422	976	1332
423	979	1330
424	981	1327
425	983	1325
426	985	1322
427	987	1320
428	989	1317
429	992	1315
430	994	1312
431	996	1310
432	998	1307
433	1000	1305
434	1003	1302
435	1005	1300
436	1007	1298
437	1009	1295
438	1011	1292
439	1013	1290
440	1016	1288
441	1018	1285
442	1020	1283
443	1022	1280
444	1024	1278
445	1027	1275
446	1029	1273
447	1031	1270
448	1033	1268
449	1035	1265
450	1037	1263
451	1039	1260
452	1042	1258
453	1044	1255
454	1046	1253
455	1048	1250
456	1050	1248
457	1052	1245
458	1055	1243
459	1057	1241
460	1059	1238
461	1061	1236
462	1063	1233
463	1066	1231
464	1068	1229
465	1070	1226
466	1072	1224
467	1075	1222
468	1077	1219
469	1079	1217
470	1081	1214
471	1083	1212
472	1086	1210
473	1088	1207
474	1090	1205
475	1092	1202
476	1094	1200
477	1096	1197
478	1098	1195
479	1101	1193
480	1103	1190
481	1105	1188
482	1107	1185
483	1110	1183
484	1112	1181
485	1114	1178
486	1116	1176
487	1119	1174
488	1121	1171
489	1123	1169
490	1125	1166
491	1127	1164
492	1129	1161
493	1131	1159
494	1133	1156
495	1136	1154
496	1138	1152
497	1140	1149
498	1142	1147
499	1145	1145
500	1147	1142
501	1149	1140
502	1151	1137
503	1153	1135
504	1155	1132
505	1157	1130
506	1159	1127
507	1161	1125
508	1164	1122
509	1166	1120
510	1168	1118
511	1170	1115
512	1173	1113
513	1175	1111
514	1177	1108
515	1179	1106
516	1181	1104
517	1184	1101
518	1186	1099
519	1188	1097
520	1190	1094
521	1193	1092
522	1195	1090
523	1197	1087
524	1199	1085
525	1201	1083
526	1203	1080
527	1206	1078
528	1208	1075
529	1210	1073
530	1212	1071
531	1214	1068
532	1217	1066
533	1219	1063
534	1224	1064
535	1227	1062
536	1229	1060
537	1231	1057
538	1233	1055
539	1236	1052
540	1238	1050
541	1240	1048
542	1242	1045
543	1244	1043
544	1246	1041
545	1249	1038
546	1251	1036
547	1253	1034
548	1255	1031
549	1258	1029
550	1260	1027
551	1262	1024
552	1264	1022
553	1267	1020
554	1269	1017
555	1271	1015
556	1273	1012
557	1275	1010
558	1277	1008
559	1280	1005
560	1282	1003
561	1284	1001
562	1286	998
563	1288	996
564	1291	993
565	1293	991
566	1295	989
567	1297	986
568	1299	984
569	1301	982
570	1304	979
571	1306	977
572	1308	975
573	1310	972
574	1312	970
575	1315	968
576	1317	965
577	1319	963
578	1321	961
579	1324	958
580	1326	956
581	1328	954
582	1330	951
583	1333	949
584	1335	947
585	1337	944
586	1339	942
587	1341	940
588	1344	938
589	1346	935
590	1348	933
591	1350	930
592	1352	928
593	1354	926
594	1357	923
595	1359	921
596	1361	919
597	1363	916
598	1366	914
599	1368	912
600	1370	909
601	1372	907
602	1374	905
603	1376	902
604	1379	900
605	1381	898
606	1383	895
607	1385	893
608	1388	891
609	1390	888
610	1392	886
611	1394	884
612	1396	881
613	1398	879
614	1400	876
615	1403	874
616	1405	872
617	1407	870
618	1409	867
619	1412	865
620	1414	863
621	1416	860
622	1418	858
623	1420	856
624	1423	853
625	1425	851
626	1427	849
627	1429	846
628	1431	844
629	1433	842
630	1435	839
631	1438	837
632	1440	835
633	1442	832
634	1444	830
635	1446	828
636	1448	825
637	1451	823
638	1453	821
639	1455	818
640	1457	816
641	1459	814
642	1462	811
643	1464	809
644	1466	807
645	1468	804
646	1471	802
647	1473	800
648	1475	797
649	1477	795
650	1479	793
651	1482	791
652	1484	788
653	1486	786
654	1488	784
655	1490	781
656	1492	779
657	1495	777
658	1497	774
659	1499	772
660	1501	770
661	1504	767
662	1506	765
663	1508	763
664	1510	761
665	1512	758
666	1515	756
667	1517	754
668	1519	751
669	1521	749
670	1523	747
671	1526	744
672	1528	742
673	1530	740
674	1532	737
675	1534	735
676	1536	733
677	1539	731
678	1541	728
679	1543	726
680	1545	724
681	1548	721
682	1550	719
683	1552	717
684	1554	714
685	1557	712
686	1559	710
687	1561	708
688	1563	705
689	1565	703
690	1568	701
691	1570	698
692	1572	696
693	1574	694
694	1576	691
695	1579	689
696	1581	687
697	1583	685
698	1585	682
699	1588	680
700	1590	678
701	1592	676
702	1594	673
703	1597	671
704	1599	669
705	1601	666
706	1603	664
707	1606	662
708	1608	660
709	1610	657
710	1612	655
711	1614	653
712	1617	650
713	1619	648
714	1621	646
715	1623	644
716	1625	641
717	1627	639
718	1630	637
719	1632	634
720	1634	632
721	1636	630
722	1639	628
723	1641	625
724	1643	623
725	1645	621
726	1647	618
727	1649	616
728	1652	614
729	1654	611
730	1656	609
731	1658	607
732	1660	605
733	1663	602
734	1665	600
735	1667	598
736	1669	595
737	1671	593
738	1674	591
739	1676	588
740	1678	586
741	1680	584
742	1683	582
743	1685	579
744	1687	577
745	1689	575
746	1691	572
747	1693	570
748	1695	568
749	1697	565
750	1700	563
751	1702	561
752	1704	559
753	1706	556
754	1708	554
755	1710	552
756	1713	549
757	1715	547
758	1717	545
759	1719	543
760	1721	540
761	1724	538
762	1726	536
763	1728	533
764	1730	531
765	1732	529
766	1734	527
767	1737	524
768	1739	522
769	1741	520
770	1743	517
771	1746	515
772	1748	513
773	1750	511
774	1752	508
775	1755	506
776	1757	504
777	1759	502
778	1761	499
779	1763	497
780	1766	495
781	1768	492
782	1770	490
783	1772	488
784	1774	486
785	1777	483
786	1779	481
787	1781	479
788	1783	476
789	1785	474
790	1787	472
791	1789	470
792	1792	467
793	1794	465
794	1796	463
795	1798	460
796	1800	458
797	1803	456
798	1805	454
799	1807	451
800	1809	449
801	1811	447
802	1813	445
803	1816	442
804	1818	440
805	1820	438
806	1822	435
807	1825	433
808	1827	431
809	1829	429
810	1831	426
811	1833	424
812	1835	422
813	1838	420
814	1840	417
815	1842	415
816	1844	413
817	1846	410
818	1849	408
819	1851	406
820	1853	404
821	1855	401
822	1857	399
823	1859	397
824	1861	394
825	1864	392
826	1866	390
827	1868	388
828	1870	385
829	1873	383
830	1875	381
831	1877	379
832	1879	376
833	1881	374
834	1883	372
835	1886	370
836	1888	367
837	1890	365
838	1892	363
839	1894	360
840	1897	358
841	1899	356
842	1901	354
843	1903	351
844	1905	349
845	1907	347
846	1910	345
847	1912	342
848	1914	340
849	1916	338
850	1918	335
851	1921	333
852	1923	331
853	1925	329
854	1927	326
855	1929	324
856	1932	322
857	1934	320
858	1936	317
859	1938	315
860	1940	313
861	1943	311
862	1945	308
863	1947	306
864	1949	304
865	1951	301
866	1953	299
867	1956	297
868	1958	295
869	1960	292
870	1962	290
871	1964	288
872	1967	286
873	1969	283
874	1971	281
875	1974	279
876	1976	277
877	1978	274
878	1980	272
879	1982	270
880	1984	268
881	1987	265
882	1989	263
883	1991	261
884	1993	259
885	1995	256
886	1997	254
887	2000	252
888	2002	250
889	2004	247
890	2006	245
891	2008	243
892	2010	240
893	2013	238
894	2015	236
895	2017	234
896	2019	231
897	2021	229
898	2023	227
899	2026	225
900	2028	222
901	2030	220
902	2032	218
903	2035	216
904	2037	213
905	2039	211
906	2041	209
907	2043	207
908	2046	204
909	2048	202
910	2050	200
911	2052	198
912	2055	195
913	2057	193
914	2059	191
915	2061	189
916	2064	186
917	2066	184
918	2068	182
919	2070	180
920	2073	177
921	2075	175
922	2077	173
923	2079	171
924	2081	168
925	2083	166
926	2086	164
927	2088	162
928	2090	159
929	2092	157
930	2094	155
931	2096	152
932	2099	150
933	2101	148
934	2103	146
935	2105	143
936	2107	141
937	2110	139
938	2112	137
939	2114	134
940	2116	132
941	2118	130
942	2121	128
943	2123	125
944	2125	123
945	2127	121
946	2129	119
947	2132	116
948	2134	114
949	2136	112
950	2138	110
951	2141	107
952	2143	105
953	2145	103
954	2147	101
955	2149	98
956	2151	96
957	2154	94
958	2156	92
959	2158	89
960	2160	87
961	2162	85
962	2164	83
963	2166	80
964	2169	78
