name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
ACOCUS_clean,argon,293.0,0.1,14.0,ACOCUS_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0394157636,0.8434,1.5745809253999998,0.88346397,0.3061236748,chunk_1
1499489-acs.cgd.6b01265_1499490_clean,argon,293.0,0.1,14.0,1499489-acs.cgd.6b01265_1499490_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.07365146480000001,0.547375,2.9422287166000003,1.6508221462000001,1.459618901,chunk_1
ACOCOM_clean,argon,293.0,0.1,14.0,ACOCOM_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0380230611,0.8102,1.518945245,0.8522479694,0.2982208095,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean,argon,293.0,0.1,14.0,acs.cgd.5b01554_VAGNUP1452791_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.012963006599999998,0.0878,0.5178461884000001,0.29055251600000004,0.4272483482,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean,argon,293.0,0.1,14.0,acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1286473166,1.4509999999999998,5.1392030020999995,2.8834978335000003,2.2277564414,chunk_1
ACODAZ_clean,argon,293.0,0.1,14.0,ACODAZ_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0389060314,0.8204,1.5542181441,0.8720388452,0.2992307457,chunk_1
acs.inorgchem.5b02316_ic5b02316_si_002_clean,argon,293.0,0.1,14.0,acs.inorgchem.5b02316_ic5b02316_si_002_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.7661016643,2.41895,30.604229284699997,17.1713841234,23.0430577321,chunk_1
acs.chemmater.5b03723_cm5b03723_si_005_clean,argon,293.0,0.1,14.0,acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.058941099500000003,0.56,2.3545790431999998,1.321104375,0.8522948649,chunk_1
acs.inorgchem.6b00276_ic6b00276_si_006_clean,argon,293.0,0.1,14.0,acs.inorgchem.6b00276_ic6b00276_si_006_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.10504901050000001,2.638525,4.1964978726,2.3545659743000003,1.7925861251,chunk_1
acscombsci.5b00188_34903_clean,argon,293.0,0.1,14.0,acscombsci.5b00188_34903_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1956547641,0.2632708333,7.8160165172000005,4.385401138,9.497970331,chunk_1
acs.inorgchem.5b02378_ic5b02378_si_002_clean,argon,293.0,0.1,14.0,acs.inorgchem.5b02378_ic5b02378_si_002_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.1951256504,1.1491555556,7.7948794838,4.3735415967,10.2523172374,chunk_1
ADOBIF_clean,argon,293.0,0.1,14.0,ADOBIF_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0275179238,0.11214375,1.0992860207,0.6167860771,0.9799042095999999,chunk_1
acs.inorgchem.6b01762_ic6b01762_si_002_clean,argon,293.0,0.1,14.0,acs.inorgchem.6b01762_ic6b01762_si_002_clean_argon_293.0K_0.1bar_14.0/Output/System_0,0.0046138338,0.15005,0.18431343449999998,0.10341436,0.23909310949999998,chunk_1
