MOF,. time (s),source_chunk
BIWYAH10_clean_argon_313.0K_0.05bar_14.,34.6,chunk_1
KIRFIA_clean_argon_313.0K_0.05bar_14.,46.0,chunk_1
KAHZAW_clean_argon_313.0K_0.05bar_14.,60.6,chunk_1
KOSLOV_clean_argon_313.0K_0.05bar_14.,82.0,chunk_1
MEMGAN_clean_argon_313.0K_0.05bar_14.,114.1,chunk_1
YOYREL_clean_argon_313.0K_0.05bar_14.,120.8,chunk_1
HIFTOG02_clean_argon_313.0K_0.05bar_14.,122.7,chunk_1
FIRNUR_clean_argon_313.0K_0.05bar_14.,135.3,chunk_1
UMOYOM15_clean_argon_313.0K_0.05bar_14.,139.1,chunk_1
BOYCEY_auto_argon_313.0K_0.05bar_14.,140.2,chunk_1
VELVOY_clean_argon_313.0K_0.05bar_14.,141.1,chunk_1
REFTUT_clean_argon_313.0K_0.05bar_14.,142.6,chunk_1
TACPAP_clean_argon_313.0K_0.05bar_14.,144.1,chunk_1
BETGUE_clean_argon_313.0K_0.05bar_14.,83.6,chunk_1
REXCEE_clean_argon_313.0K_0.05bar_14.,146.3,chunk_1
CUFDUD_clean_argon_313.0K_0.05bar_14.,166.0,chunk_1
XORHET_clean_argon_313.0K_0.05bar_14.,149.2,chunk_1
INIDAL_clean_argon_313.0K_0.05bar_14.,192.5,chunk_1
VUKTAY_clean_argon_313.0K_0.05bar_14.,196.4,chunk_1
ic502921j_si_002_clean_argon_313.0K_0.05bar_14.,152.1,chunk_1
YEGCUJ_clean_argon_313.0K_0.05bar_14.,116.7,chunk_1
WIKLOT_clean_argon_313.0K_0.05bar_14.,203.3,chunk_1
UZOBIW_clean_argon_313.0K_0.05bar_14.,205.6,chunk_1
COJMOF02_clean_argon_313.0K_0.05bar_14.,208.9,chunk_1
HEBJAB_clean_argon_313.0K_0.05bar_14.,104.1,chunk_1
XUNGOD_clean_argon_313.0K_0.05bar_14.,226.2,chunk_1
NOFDUI_clean_argon_313.0K_0.05bar_14.,227.0,chunk_1
KOSLIP_clean_argon_313.0K_0.05bar_14.,81.9,chunk_1
MARPOL_clean_argon_313.0K_0.05bar_14.,231.6,chunk_1
HURFOR_clean_argon_313.0K_0.05bar_14.,234.7,chunk_1
