iter,train,val,sampled,remain,unc_mean,unc_std,sel_unc_mean,unc_zscore,r2,mae,rmse
0,64,7,30,7062,0.014725953,0.004277437,0.035877243,4.944839614242561,0.8518160285343265,0.21394996,0.42689672
1,91,10,30,7032,0.014614054,0.0030621283,0.024252567,3.1476414270802713,0.9358147904761827,0.19163531,0.2782563
2,118,13,30,7002,0.014497723,0.0030118406,0.023216924,2.8949643737298807,0.9322749106032873,0.1953965,0.28456607
3,145,16,30,6972,0.015066655,0.0032126403,0.023731245,2.6970222651584788,0.9367421300909621,0.18954152,0.27449068
4,172,19,30,6942,0.014308174,0.0029744112,0.022949984,2.9053753518946506,0.9434331124935711,0.17635868,0.25846815
5,199,22,30,6912,0.013991061,0.0029029627,0.02278073,3.0278165174946676,0.9381715852289318,0.18672809,0.26958174
6,226,25,30,6882,0.014461042,0.0030941602,0.027795248,4.30946081804409,0.9440493105935683,0.17213896,0.25590497
7,253,28,30,6852,0.013949306,0.0029082638,0.024807105,3.733417057040925,0.9431315253387174,0.17389175,0.25805074
8,280,31,30,6822,0.013870909,0.0030969477,0.028631,4.765996987358749,0.9468908682674532,0.17068629,0.24938296
9,307,34,29,6793,0.013875529,0.0033475915,0.029933613,4.796892234042501,0.9405823912973611,0.1754698,0.26404473
10,333,37,30,6763,0.012860442,0.0031928173,0.026772298,4.357221645632583,0.9495791975341545,0.16670139,0.24340458
11,360,40,30,6733,0.013215632,0.003162668,0.0249093,3.6973944965600736,0.950029401753534,0.16607086,0.24216929
12,387,43,30,6703,0.012243589,0.0028116335,0.02188755,3.4300083523778913,0.9495917168268474,0.16955522,0.24323195
13,414,46,30,6673,0.01256756,0.0032296018,0.025141956,3.8934698578882387,0.9539454996281785,0.16110131,0.23221977
14,441,49,30,6643,0.013339975,0.003647616,0.026831402,3.698687026425029,0.9543260474442024,0.15912978,0.23101258
15,468,52,30,6613,0.0138579765,0.0039535537,0.02688753,3.2956478753956073,0.9525962418068143,0.16433074,0.23548977
