iter	RMSE
0	0.9610864836
1	0.924467744
2	0.8889299235
3	0.8524122307
4	0.8198293367
5	0.787654408
6	0.7568491003
7	0.7271747282
8	0.6992800422
9	0.6732942273
10	0.647569894
11	0.6231605967
12	0.5997252162
13	0.5790499293
14	0.558076543
15	0.5376967577
16	0.518334756
17	0.5009226952
18	0.4844821775
19	0.4696876851
20	0.4537963474
21	0.4407771688
22	0.4282966996
23	0.4149705516
24	0.4036110288
25	0.3918038372
26	0.3802168325
27	0.3691141595
28	0.3590493236
29	0.3487856392
30	0.3399843349
31	0.3317847738
32	0.3234951225
33	0.3164062395
34	0.3092198424
35	0.3020124566
36	0.2950526871
37	0.2887911766
38	0.2829816844
39	0.2770710967
40	0.2715255981
41	0.2661448452
42	0.26101773
43	0.2564179062
44	0.2519880951
45	0.2476349204
46	0.2432950015
47	0.2389161008
48	0.2347899162
49	0.2309909312
50	0.2274773529
51	0.2247102528
52	0.2216973797
53	0.2190657034
54	0.2165219503
55	0.2138895262
56	0.2113856619
57	0.2090680305
58	0.2070434385
59	0.2047814751
60	0.2028142281
61	0.2006191877
62	0.1987727218
63	0.1970171673
64	0.1953514324
65	0.1937709315
66	0.1921083471
67	0.1903412684
68	0.1891160336
69	0.1876882426
70	0.1862516462
71	0.1847418512
72	0.183656226
73	0.1824020607
74	0.1813725659
75	0.1801804743
76	0.1789650388
77	0.1779719288
78	0.1769336633
79	0.1758700992
80	0.1747923571
81	0.1740113702
82	0.1731403057
83	0.172367398
84	0.1716302789
85	0.1709328702
86	0.1701974428
87	0.169353701
88	0.168665869
89	0.1679022328
90	0.1672756486
91	0.1665540122
92	0.1659030177
93	0.165300209
94	0.1648155159
95	0.1640312671
96	0.1634598377
97	0.1627726827
98	0.1620327568
99	0.1615231727
100	0.1609289662
101	0.1605792588
102	0.1599755059
103	0.1594223998
104	0.1590211711
105	0.1585895723
106	0.15830505
107	0.15778626
108	0.1574531304
109	0.156907429
110	0.15649109
111	0.1560063049
112	0.1555372763
113	0.1550752588
114	0.1545905449
115	0.1539330866
116	0.1535433519
117	0.1529953639
118	0.1525954793
119	0.1522239758
120	0.1518349158
121	0.1514556375
122	0.1509491252
123	0.1505370448
124	0.1501095229
125	0.1498243095
126	0.1495220235
127	0.1490997138
128	0.1486487442
129	0.1482043064
130	0.147916485
131	0.1475614748
132	0.1472470606
133	0.1468569227
134	0.1464806251
135	0.1461213631
136	0.1457845335
137	0.145477499
138	0.1449750984
139	0.1446229858
140	0.1443612387
141	0.1441126397
142	0.1439269036
143	0.143701765
144	0.1435149602
145	0.1429852764
146	0.1426838253
147	0.1422764533
148	0.1419903976
149	0.1416050138
150	0.1415654131
151	0.1412720157
152	0.1409476794
153	0.1406545346
154	0.1403504631
155	0.1400523952
156	0.1398168429
157	0.1396079347
158	0.1394142996
159	0.1392072327
160	0.1390279475
161	0.1387751924
162	0.1384996123
163	0.1379726516
164	0.1375463036
165	0.1369376466
166	0.1367226632
167	0.1363610735
168	0.1361844287
169	0.1359658727
170	0.1357636116
171	0.1354531277
172	0.1351882243
173	0.1345773435
174	0.1344555319
175	0.1342427598
176	0.1340154249
177	0.133805971
178	0.1335039643
179	0.1333885321
180	0.1331058825
181	0.132894636
182	0.1324702571
183	0.132295964
184	0.1321392287
185	0.131963725
186	0.1316339376
187	0.1314496884
188	0.1311582878
189	0.1309578654
190	0.1305664509
191	0.1301461117
192	0.1299598139
193	0.1297727986
194	0.12961886
195	0.1294529495
196	0.1292922706
197	0.1290533976
198	0.1287841716
199	0.1285798619
200	0.1284114174
201	0.1280437291
202	0.1275141326
203	0.1273598832
204	0.12730465
205	0.1271628013
206	0.1270390226
207	0.1267021965
208	0.1264045725
209	0.1261151464
210	0.1258348746
211	0.1255567863
212	0.1252703147
213	0.125144065
214	0.1248364607
215	0.1246354146
216	0.1244587051
217	0.1242593917
218	0.1240430436
219	0.1238997962
220	0.123728297
