MOF,. time (s),source_chunk
OFAMUF_clean_argon_313.0K_15.0bar_14.,291.9,chunk_1
CUFQUR_clean_argon_313.0K_15.0bar_14.,396.6,chunk_1
ja111042f_si_002_clean_argon_313.0K_15.0bar_14.,583.1,chunk_1
FOQNUW01_clean_argon_313.0K_15.0bar_14.,659.2,chunk_1
acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_313.0K_15.0bar_14.,660.5,chunk_1
OGOJAX_clean_argon_313.0K_15.0bar_14.,686.9,chunk_1
FOQPAE02_clean_argon_313.0K_15.0bar_14.,811.6,chunk_1
LODCUC_clean_argon_313.0K_15.0bar_14.,816.7,chunk_1
QARLON_clean_argon_313.0K_15.0bar_14.,816.7,chunk_1
ic502643m_si_012_clean_argon_313.0K_15.0bar_14.,849.5,chunk_1
FEYJID_clean_argon_313.0K_15.0bar_14.,954.4,chunk_1
LABNOU_clean_argon_313.0K_15.0bar_14.,1281.4,chunk_1
FASGIS_clean_argon_313.0K_15.0bar_14.,1345.4,chunk_1
FOCZEE_clean_argon_313.0K_15.0bar_14.,695.1,chunk_1
JIVSIR01_clean_argon_313.0K_15.0bar_14.,1613.1,chunk_1
CESFOW_clean_argon_313.0K_15.0bar_14.,1247.0,chunk_1
IWEVUD_clean_argon_313.0K_15.0bar_14.,1031.6,chunk_1
KOVGOT_clean_argon_313.0K_15.0bar_14.,1724.0,chunk_1
ICIVEW_clean_argon_313.0K_15.0bar_14.,986.6,chunk_1
ASANAL_clean_argon_313.0K_15.0bar_14.,1012.1,chunk_1
MUVJAP_clean_argon_313.0K_15.0bar_14.,1607.9,chunk_1
BEXVAD01_clean_argon_313.0K_15.0bar_14.,1055.6,chunk_1
LUKLIN_clean_argon_313.0K_15.0bar_14.,2043.2,chunk_1
COQJUP_clean_argon_313.0K_15.0bar_14.,2072.3,chunk_1
GEDPAH_clean_argon_313.0K_15.0bar_14.,344.8,chunk_1
FALSAO_clean_argon_313.0K_15.0bar_14.,2405.0,chunk_1
ic200054b_si_002_clean_argon_313.0K_15.0bar_14.,2426.1,chunk_1
BUPDOH_clean_argon_313.0K_15.0bar_14.,2479.7,chunk_1
ILOWAI_clean_argon_313.0K_15.0bar_14.,2512.3,chunk_1
LEQBUG_clean_argon_313.0K_15.0bar_14.,1872.5,chunk_1
j.jssc.2016.06.015_ZJU-10_clean_argon_313.0K_15.0bar_14.,1252.3,chunk_1
LABQAJ_clean_argon_313.0K_15.0bar_14.,1053.7,chunk_1
INEXEG_clean_argon_313.0K_15.0bar_14.,2832.0,chunk_1
CEKNIQ_clean_argon_313.0K_15.0bar_14.,1040.3,chunk_1
ATEZIK_clean_argon_313.0K_15.0bar_14.,734.3,chunk_1
FIWKUT_clean_argon_313.0K_15.0bar_14.,2923.9,chunk_1
PALTIH_clean_argon_313.0K_15.0bar_14.,1227.6,chunk_1
LOZSOK_clean_argon_313.0K_15.0bar_14.,2058.8,chunk_1
NAHHOW_clean_argon_313.0K_15.0bar_14.,1333.0,chunk_1
CAVMIX_clean_argon_313.0K_15.0bar_14.,3406.3,chunk_1
c5cc09935h_c5cc09935h2_clean_argon_313.0K_15.0bar_14.,1782.3,chunk_1
CEDFUO_clean_argon_313.0K_15.0bar_14.,2842.9,chunk_1
FECFAV_clean_argon_313.0K_15.0bar_14.,540.8,chunk_1
KUNLAH_clean_argon_313.0K_15.0bar_14.,1469.7,chunk_1
c6cc01597b_c6cc01597b2_clean_argon_313.0K_15.0bar_14.,1655.4,chunk_1
KUZYUB_clean_argon_313.0K_15.0bar_14.,1980.3,chunk_1
PAQMAY_clean_argon_313.0K_15.0bar_14.,1411.9,chunk_1
KULMAG_clean_argon_313.0K_15.0bar_14.,3843.1,chunk_1
BUCSAU_clean_argon_313.0K_15.0bar_14.,1849.3,chunk_1
AQEGUY_clean_argon_313.0K_15.0bar_14.,1475.6,chunk_1
CUSXIY_clean_argon_313.0K_15.0bar_14.,965.9,chunk_1
EGABAR_clean_argon_313.0K_15.0bar_14.,1156.7,chunk_1
GANBIH_clean_argon_313.0K_15.0bar_14.,1504.4,chunk_1
AVETAY_clean_argon_313.0K_15.0bar_14.,647.9,chunk_1
HIZSEQ_clean_argon_313.0K_15.0bar_14.,866.0,chunk_1
FUVDEH_clean_argon_313.0K_15.0bar_14.,4752.1,chunk_1
ja0660047si20060818_060256_clean_argon_313.0K_15.0bar_14.,3238.4,chunk_1
jacs.6b02030_ja6b02030_si_004_clean_argon_313.0K_15.0bar_14.,2532.9,chunk_1
QUJWEZ_clean_argon_313.0K_15.0bar_14.,2215.5,chunk_1
FIJFOU_clean_argon_313.0K_15.0bar_14.,1009.7,chunk_1
PARSAF_clean_argon_313.0K_15.0bar_14.,6006.0,chunk_1
PENNIH_clean_argon_313.0K_15.0bar_14.,3298.1,chunk_1
NIXFUX_clean_argon_313.0K_15.0bar_14.,3456.8,chunk_1
FISGOF_clean_argon_313.0K_15.0bar_14.,561.5,chunk_1
GUKCIA_clean_argon_313.0K_15.0bar_14.,3594.9,chunk_1
EVOTIT_SL_argon_313.0K_15.0bar_14.,4343.5,chunk_1
ANOMOG_clean_argon_313.0K_15.0bar_14.,915.1,chunk_1
LIHKAQ_clean_argon_313.0K_15.0bar_14.,3444.0,chunk_1
