MOF,. time (s),source_chunk
acs.inorgchem.6b01762_ic6b01762_si_002_clean_argon_293.0K_5.0bar_14.,314.0,chunk_1
acscombsci.5b00188_5013797_clean_argon_293.0K_5.0bar_14.,356.1,chunk_1
AHUFIU_clean_argon_293.0K_5.0bar_14.,363.3,chunk_1
am301365h_si_002_clean_argon_293.0K_5.0bar_14.,390.1,chunk_1
acs.chemmater.5b03723_cm5b03723_si_005_clean_argon_293.0K_5.0bar_14.,394.6,chunk_1
ADOBIF_clean_argon_293.0K_5.0bar_14.,395.1,chunk_1
ANOMOG_clean_argon_293.0K_5.0bar_14.,469.3,chunk_1
AMIZIG_clean_argon_293.0K_5.0bar_14.,574.3,chunk_1
acs.cgd.5b01554_VAGNUP1452791_clean_argon_293.0K_5.0bar_14.,579.9,chunk_1
acs.inorgchem.6b01211_ic6b01211_si_002_clean_argon_293.0K_5.0bar_14.,615.3,chunk_1
acs.chemmater.5b03723_cm5b03723_si_004_clean_argon_293.0K_5.0bar_14.,695.4,chunk_1
ATEZIK_clean_argon_293.0K_5.0bar_14.,364.1,chunk_1
acs.inorgchem.6b01416_ic6b01416_si_004_clean_argon_293.0K_5.0bar_14.,760.6,chunk_1
ASIVEF_clean_argon_293.0K_5.0bar_14.,400.3,chunk_1
ATEZEG_clean_argon_293.0K_5.0bar_14.,384.6,chunk_1
AWUPOZ_clean_argon_293.0K_5.0bar_14.,256.3,chunk_1
AQOTIK_clean_argon_293.0K_5.0bar_14.,526.2,chunk_1
AGUBUA_clean_argon_293.0K_5.0bar_14.,1077.5,chunk_1
AQIXUU_clean_argon_293.0K_5.0bar_14.,1091.2,chunk_1
ASANAL_clean_argon_293.0K_5.0bar_14.,737.1,chunk_1
AQEGUY_clean_argon_293.0K_5.0bar_14.,1098.6,chunk_1
AVETAY_clean_argon_293.0K_5.0bar_14.,392.1,chunk_1
AXINAX_clean_argon_293.0K_5.0bar_14.,429.7,chunk_1
BEXVIL_clean_argon_293.0K_5.0bar_14.,272.9,chunk_1
BEWCUD_clean_argon_293.0K_5.0bar_14.,187.9,chunk_1
ASEKAM_clean_argon_293.0K_5.0bar_14.,1090.8,chunk_1
BETFOX_clean_argon_293.0K_5.0bar_14.,569.0,chunk_1
AXIGAR_clean_argon_293.0K_5.0bar_14.,359.5,chunk_1
AQOLOJ_clean_argon_293.0K_5.0bar_14.,1517.3,chunk_1
ATUZEW_clean_argon_293.0K_5.0bar_14.,1029.8,chunk_1
BEXVAD01_clean_argon_293.0K_5.0bar_14.,757.3,chunk_1
BETDOV_clean_argon_293.0K_5.0bar_14.,601.2,chunk_1
BAKYIY_clean_argon_293.0K_5.0bar_14.,772.1,chunk_1
BEWVEG_clean_argon_293.0K_5.0bar_14.,562.2,chunk_1
BIJFAD_clean_argon_293.0K_5.0bar_14.,582.5,chunk_1
1499489-acs.cgd.6b01265_1499490_clean_argon_293.0K_5.0bar_14.,2099.6,chunk_1
acscombsci.5b00188_34903_clean_argon_293.0K_5.0bar_14.,2106.8,chunk_1
BIPBAF_clean_argon_293.0K_5.0bar_14.,594.1,chunk_1
BORBEQ_clean_argon_293.0K_5.0bar_14.,535.3,chunk_1
ACOCOM_clean_argon_293.0K_5.0bar_14.,2210.1,chunk_1
BIHBEB_clean_argon_293.0K_5.0bar_14.,881.0,chunk_1
ACODAZ_clean_argon_293.0K_5.0bar_14.,2261.7,chunk_1
BEXTUV_clean_argon_293.0K_5.0bar_14.,1174.0,chunk_1
AWEWOP_clean_argon_293.0K_5.0bar_14.,1714.3,chunk_1
BEXVAD_clean_argon_293.0K_5.0bar_14.,955.2,chunk_1
ACOCUS_clean_argon_293.0K_5.0bar_14.,2354.4,chunk_1
BIRGIU_clean_argon_293.0K_5.0bar_14.,588.6,chunk_1
AHIYOH_clean_argon_293.0K_5.0bar_14.,2527.8,chunk_1
APEBII_clean_argon_293.0K_5.0bar_14.,2531.8,chunk_1
BUVVIZ_clean_argon_293.0K_5.0bar_14.,561.6,chunk_1
BIWSOQ_clean_argon_293.0K_5.0bar_14.,686.1,chunk_1
BOHWOM_clean_argon_293.0K_5.0bar_14.,1050.3,chunk_1
BOWSOW_clean_argon_293.0K_5.0bar_14.,696.8,chunk_1
c4dt02048k_c4dt02048k2_clean_argon_293.0K_5.0bar_14.,480.2,chunk_1
BADXAI_clean_argon_293.0K_5.0bar_14.,1361.3,chunk_1
BUVVOF_clean_argon_293.0K_5.0bar_14.,581.1,chunk_1
BABREE_clean_argon_293.0K_5.0bar_14.,2259.6,chunk_1
c6cc00589f_c6cc00589f3_clean_argon_293.0K_5.0bar_14.,123.2,chunk_1
ATEJOA_clean_argon_293.0K_5.0bar_14.,2658.0,chunk_1
BEGDEY_clean_argon_293.0K_5.0bar_14.,2459.4,chunk_1
c5dt02651b_c5dt02651b2_clean_argon_293.0K_5.0bar_14.,513.8,chunk_1
BINMIW_clean_argon_293.0K_5.0bar_14.,1509.2,chunk_1
c5dt04943a_c5dt04943a2_clean_argon_293.0K_5.0bar_14.,555.8,chunk_1
acs.inorgchem.6b00136_ic6b00136_si_002_clean_argon_293.0K_5.0bar_14.,3338.2,chunk_1
c6cc00589f_c6cc00589f2_clean_argon_293.0K_5.0bar_14.,436.7,chunk_1
c5dt03038b_c5dt03038b2_clean_argon_293.0K_5.0bar_14.,866.8,chunk_1
c5cc09935h_c5cc09935h2_clean_argon_293.0K_5.0bar_14.,888.6,chunk_1
BUPDOH_clean_argon_293.0K_5.0bar_14.,1389.3,chunk_1
BUCSAU_clean_argon_293.0K_5.0bar_14.,1580.8,chunk_1
c6cc03787a_c6cc03787a2_clean_argon_293.0K_5.0bar_14.,457.4,chunk_1
c5ce00931f_c5ce00931f2_clean_argon_293.0K_5.0bar_14.,1166.8,chunk_1
c5dt01100k_c5dt01100k2_clean_argon_293.0K_5.0bar_14.,945.5,chunk_1
c6ce00465b_c6ce00465b2_clean_argon_293.0K_5.0bar_14.,406.9,chunk_1
BUCSIC01_clean_argon_293.0K_5.0bar_14.,1658.4,chunk_1
c5ce01790d_c5ce01790d1_clean_argon_293.0K_5.0bar_14.,1556.3,chunk_1
c5ta03835a_c5ta03835a2_clean_argon_293.0K_5.0bar_14.,1067.7,chunk_1
CAXSUR_SL_argon_293.0K_5.0bar_14.,437.1,chunk_1
c5dt05023e_c5dt05023e2_clean_argon_293.0K_5.0bar_14.,1390.5,chunk_1
BOSHIC_clean_argon_293.0K_5.0bar_14.,2047.8,chunk_1
c5nj02236c_c5nj02236c2_clean_argon_293.0K_5.0bar_14.,1963.5,chunk_1
CAYQIE_clean_argon_293.0K_5.0bar_14.,661.8,chunk_1
CASWIE_clean_argon_293.0K_5.0bar_14.,642.6,chunk_1
CAYQUQ_clean_argon_293.0K_5.0bar_14.,825.9,chunk_1
c6cc01597b_c6cc01597b2_clean_argon_293.0K_5.0bar_14.,1285.3,chunk_1
CESFOW_clean_argon_293.0K_5.0bar_14.,666.4,chunk_1
cg050585esi20051105_115011_clean_argon_293.0K_5.0bar_14.,758.1,chunk_1
CEYYIQ_clean_argon_293.0K_5.0bar_14.,428.5,chunk_1
CEMKOV_clean_argon_293.0K_5.0bar_14.,874.8,chunk_1
AKOXIJ_clean_argon_293.0K_5.0bar_14.,4636.9,chunk_1
CEKNIQ_clean_argon_293.0K_5.0bar_14.,465.3,chunk_1
CACNOM_clean_argon_293.0K_5.0bar_14.,1478.3,chunk_1
BERQIA_clean_argon_293.0K_5.0bar_14.,4309.0,chunk_1
cg300979c_si_002_clean_argon_293.0K_5.0bar_14.,554.9,chunk_1
CIPLIX_clean_argon_293.0K_5.0bar_14.,714.3,chunk_1
cg3015354_si_002_clean_argon_293.0K_5.0bar_14.,673.0,chunk_1
cg2007167_si_002_clean_argon_293.0K_5.0bar_14.,760.8,chunk_1
CESFIQ_clean_argon_293.0K_5.0bar_14.,1369.3,chunk_1
cm071462f-file004_clean_argon_293.0K_5.0bar_14.,553.8,chunk_1
CUFQUR_clean_argon_293.0K_5.0bar_14.,334.7,chunk_1
CAVMIX_clean_argon_293.0K_5.0bar_14.,2204.6,chunk_1
APEBOO_clean_argon_293.0K_5.0bar_14.,5830.5,chunk_1
cg100357q_si_002_clean_argon_293.0K_5.0bar_14.,1419.9,chunk_1
BUXTUL_clean_argon_293.0K_5.0bar_14.,3679.0,chunk_1
CAYQOK_clean_argon_293.0K_5.0bar_14.,2289.4,chunk_1
CUGYIO_clean_argon_293.0K_5.0bar_14.,236.6,chunk_1
CEDFUO_clean_argon_293.0K_5.0bar_14.,1835.1,chunk_1
c5nj03044g_c5nj03044g2_clean_argon_293.0K_5.0bar_14.,3693.2,chunk_1
CUGZAH_clean_argon_293.0K_5.0bar_14.,253.0,chunk_1
cg500192d_si_002_clean_argon_293.0K_5.0bar_14.,2087.6,chunk_1
CUGLIB_clean_argon_293.0K_5.0bar_14.,242.6,chunk_1
CUPHIG_clean_argon_293.0K_5.0bar_14.,652.1,chunk_1
COJMOF02_clean_argon_293.0K_5.0bar_14.,1156.8,chunk_1
CUSXIY_clean_argon_293.0K_5.0bar_14.,435.0,chunk_1
cg501141m_si_003_clean_argon_293.0K_5.0bar_14.,2120.2,chunk_1
COQJOJ_clean_argon_293.0K_5.0bar_14.,1436.8,chunk_1
CUQRUD_clean_argon_293.0K_5.0bar_14.,610.0,chunk_1
comp2_clean_argon_293.0K_5.0bar_14.,1660.5,chunk_1
c5qi00128e_c5qi00128e2_clean_argon_293.0K_5.0bar_14.,3575.3,chunk_1
COQJID_clean_argon_293.0K_5.0bar_14.,1896.3,chunk_1
CEDFOI_clean_argon_293.0K_5.0bar_14.,3236.6,chunk_1
CURZAR_clean_argon_293.0K_5.0bar_14.,1185.7,chunk_1
COQJUP_clean_argon_293.0K_5.0bar_14.,1617.7,chunk_1
DEYLOJ_clean_argon_293.0K_5.0bar_14.,391.2,chunk_1
COXDIE_clean_argon_293.0K_5.0bar_14.,1610.8,chunk_1
CUSXOE_clean_argon_293.0K_5.0bar_14.,923.9,chunk_1
CUTCAX_clean_argon_293.0K_5.0bar_14.,1024.7,chunk_1
CUWXAV_clean_argon_293.0K_5.0bar_14.,721.3,chunk_1
CIQQIE_clean_argon_293.0K_5.0bar_14.,2885.2,chunk_1
DANZOJ_neutral_argon_293.0K_5.0bar_14.,374.6,chunk_1
c5ta05481h_c5ta05481h2_clean_argon_293.0K_5.0bar_14.,4428.1,chunk_1
COJMIZ_clean_argon_293.0K_5.0bar_14.,2367.2,chunk_1
CUTFII_clean_argon_293.0K_5.0bar_14.,1084.4,chunk_1
DAZCAK_clean_argon_293.0K_5.0bar_14.,1309.1,chunk_1
acs.inorgchem.5b02378_ic5b02378_si_002_clean_argon_293.0K_5.0bar_14.,8361.8,chunk_1
CUVVOG_clean_argon_293.0K_5.0bar_14.,1586.0,chunk_1
DEKPUF_clean_argon_293.0K_5.0bar_14.,1079.6,chunk_1
DOFTID_clean_argon_293.0K_5.0bar_14.,1094.4,chunk_1
DOGBAE_clean_argon_293.0K_5.0bar_14.,1260.9,chunk_1
DOFTOJ_clean_argon_293.0K_5.0bar_14.,1236.5,chunk_1
DIZVAK_clean_argon_293.0K_5.0bar_14.,1237.0,chunk_1
DOMGAP_clean_argon_293.0K_5.0bar_14.,1184.8,chunk_1
DUZKEQ_clean_argon_293.0K_5.0bar_14.,302.1,chunk_1
cg3002866_si_001_clean_argon_293.0K_5.0bar_14.,4887.6,chunk_1
DUDKIY_clean_argon_293.0K_5.0bar_14.,962.2,chunk_1
DIMQIB_clean_argon_293.0K_5.0bar_14.,2109.8,chunk_1
EBOXEA_clean_argon_293.0K_5.0bar_14.,488.3,chunk_1
DUNYOC_clean_argon_293.0K_5.0bar_14.,965.8,chunk_1
DUZKAM_clean_argon_293.0K_5.0bar_14.,368.6,chunk_1
DOJXOR_clean_argon_293.0K_5.0bar_14.,2018.8,chunk_1
DADXUE_clean_argon_293.0K_5.0bar_14.,2322.7,chunk_1
DACSEI_clean_argon_293.0K_5.0bar_14.,2927.5,chunk_1
ECEZAO_clean_argon_293.0K_5.0bar_14.,579.8,chunk_1
