MOF,. time (s),source_chunk
RINSEM_clean_argon_273.0K_5.0bar_14.,102.7,chunk_1
VOXYUE_clean_argon_273.0K_5.0bar_14.,112.0,chunk_1
AQOTIK_clean_argon_273.0K_5.0bar_14.,133.4,chunk_1
YARYIZ_clean_argon_273.0K_5.0bar_14.,137.8,chunk_1
SEHSUU_clean_argon_273.0K_5.0bar_14.,137.9,chunk_1
OCACUR_clean_argon_273.0K_5.0bar_14.,160.2,chunk_1
ja903726m_si_002_clean_argon_273.0K_5.0bar_14.,168.6,chunk_1
SOBTUY_clean_argon_273.0K_5.0bar_14.,173.4,chunk_1
ARUYUH_clean_argon_273.0K_5.0bar_14.,197.2,chunk_1
YILKAH_clean_argon_273.0K_5.0bar_14.,211.3,chunk_1
UFEXEJ_clean_argon_273.0K_5.0bar_14.,235.2,chunk_1
ALIXAU_clean_h_argon_273.0K_5.0bar_14.,243.2,chunk_1
LEVYOC_clean_argon_273.0K_5.0bar_14.,247.3,chunk_1
ZIQJEQ_clean_argon_273.0K_5.0bar_14.,252.1,chunk_1
GULCAS_clean_argon_273.0K_5.0bar_14.,259.8,chunk_1
OTIPUE_clean_argon_273.0K_5.0bar_14.,267.7,chunk_1
NUJCIE_clean_argon_273.0K_5.0bar_14.,273.9,chunk_1
OTOVAW_clean_argon_273.0K_5.0bar_14.,275.5,chunk_1
SOTWOP_clean_argon_273.0K_5.0bar_14.,168.1,chunk_1
ULOJUC01_clean_argon_273.0K_5.0bar_14.,280.5,chunk_1
ja300034j_si_002_clean_argon_273.0K_5.0bar_14.,179.9,chunk_1
JOHQUT_clean_argon_273.0K_5.0bar_14.,284.4,chunk_1
TACPAP_clean_argon_273.0K_5.0bar_14.,296.3,chunk_1
c6cc00589f_c6cc00589f3_clean_argon_273.0K_5.0bar_14.,99.7,chunk_1
AGUBUA_clean_argon_273.0K_5.0bar_14.,151.1,chunk_1
COQGAS_clean_argon_273.0K_5.0bar_14.,315.6,chunk_1
HIYBUN_clean_argon_273.0K_5.0bar_14.,317.5,chunk_1
XADDUD_clean_argon_273.0K_5.0bar_14.,319.4,chunk_1
SIZPUN_clean_argon_273.0K_5.0bar_14.,326.8,chunk_1
FOKYEL_clean_argon_273.0K_5.0bar_14.,340.2,chunk_1
QUSCEN_clean_argon_273.0K_5.0bar_14.,355.0,chunk_1
CARGEI_clean_argon_273.0K_5.0bar_14.,189.8,chunk_1
TIGVUC_clean_argon_273.0K_5.0bar_14.,362.4,chunk_1
INAMUG_clean_argon_273.0K_5.0bar_14.,370.4,chunk_1
RANVUA_clean_argon_273.0K_5.0bar_14.,252.9,chunk_1
CUSZEX_clean_argon_273.0K_5.0bar_14.,193.2,chunk_1
MOYZIK_clean_argon_273.0K_5.0bar_14.,120.6,chunk_1
XIZJEW_clean_argon_273.0K_5.0bar_14.,275.7,chunk_1
XEBHOC_clean_argon_273.0K_5.0bar_14.,128.2,chunk_1
DEFRIR_clean_argon_273.0K_5.0bar_14.,215.1,chunk_1
QISNAJ_clean_argon_273.0K_5.0bar_14.,102.4,chunk_1
TISGUY_clean_argon_273.0K_5.0bar_14.,221.8,chunk_1
VIDWIQ_clean_argon_273.0K_5.0bar_14.,227.2,chunk_1
EMIYUW_clean_argon_273.0K_5.0bar_14.,253.3,chunk_1
GUHMIH_clean_argon_273.0K_5.0bar_14.,281.6,chunk_1
MITSAK_clean_argon_273.0K_5.0bar_14.,136.7,chunk_1
DOGMET_clean_argon_273.0K_5.0bar_14.,418.8,chunk_1
YARZEZ03_clean_argon_273.0K_5.0bar_14.,100.9,chunk_1
SALXEL_clean_argon_273.0K_5.0bar_14.,296.9,chunk_1
DUJRAD_clean_argon_273.0K_5.0bar_14.,179.3,chunk_1
YIZJEY_clean_argon_273.0K_5.0bar_14.,257.8,chunk_1
HEFVAR_clean_argon_273.0K_5.0bar_14.,266.4,chunk_1
HEDBOJ_clean_argon_273.0K_5.0bar_14.,172.9,chunk_1
LEZWUK_clean_argon_273.0K_5.0bar_14.,317.7,chunk_1
KEJBOQ_clean_h_argon_273.0K_5.0bar_14.,249.9,chunk_1
QUSCAJ_clean_argon_273.0K_5.0bar_14.,290.8,chunk_1
WUNTOP_clean_argon_273.0K_5.0bar_14.,296.7,chunk_1
UDUMIP03_clean_argon_273.0K_5.0bar_14.,349.0,chunk_1
WUPZUE_clean_argon_273.0K_5.0bar_14.,175.8,chunk_1
UDAMET_clean_argon_273.0K_5.0bar_14.,163.1,chunk_1
RIWSUM_clean_argon_273.0K_5.0bar_14.,343.5,chunk_1
LAWGAS_clean_argon_273.0K_5.0bar_14.,373.4,chunk_1
LAWGOG_clean_argon_273.0K_5.0bar_14.,104.6,chunk_1
SADVEB_clean_argon_273.0K_5.0bar_14.,341.8,chunk_1
CIWZEP_clean_argon_273.0K_5.0bar_14.,714.1,chunk_1
VIWHUG_clean_argon_273.0K_5.0bar_14.,366.5,chunk_1
BEXREC_clean_argon_273.0K_5.0bar_14.,104.0,chunk_1
ALEQIT_clean_argon_273.0K_5.0bar_14.,257.1,chunk_1
ic5b00561_si_002_clean_argon_273.0K_5.0bar_14.,541.3,chunk_1
ULOKOX_clean_argon_273.0K_5.0bar_14.,273.2,chunk_1
QUQWUW_clean_argon_273.0K_5.0bar_14.,209.5,chunk_1
ILIFUE_clean_argon_273.0K_5.0bar_14.,257.3,chunk_1
CUTFII_clean_argon_273.0K_5.0bar_14.,250.3,chunk_1
RIYBEI_clean_argon_273.0K_5.0bar_14.,487.3,chunk_1
HABDAS_clean_argon_273.0K_5.0bar_14.,250.2,chunk_1
FECKAA_clean_argon_273.0K_5.0bar_14.,326.8,chunk_1
NIHBAI01_clean_argon_273.0K_5.0bar_14.,200.8,chunk_1
LOTDIJ_clean_argon_273.0K_5.0bar_14.,448.1,chunk_1
EGATOW_clean_argon_273.0K_5.0bar_14.,193.3,chunk_1
IZIGUV_clean_argon_273.0K_5.0bar_14.,459.5,chunk_1
ECIWOC_clean_argon_273.0K_5.0bar_14.,566.6,chunk_1
MAVNUU_manual_argon_273.0K_5.0bar_14.,305.6,chunk_1
TOFQEM_clean_argon_273.0K_5.0bar_14.,270.2,chunk_1
MODJOG_clean_argon_273.0K_5.0bar_14.,151.2,chunk_1
WIPLOY_clean_argon_273.0K_5.0bar_14.,204.8,chunk_1
NOMPOW_clean_argon_273.0K_5.0bar_14.,351.9,chunk_1
OTEGUR_clean_argon_273.0K_5.0bar_14.,163.8,chunk_1
UFOFIF_clean_argon_273.0K_5.0bar_14.,147.8,chunk_1
BIZMEE_clean_argon_273.0K_5.0bar_14.,495.6,chunk_1
QILBUK_clean_argon_273.0K_5.0bar_14.,864.8,chunk_1
LUNBAX_clean_argon_273.0K_5.0bar_14.,119.2,chunk_1
RUYQOT_clean_argon_273.0K_5.0bar_14.,448.5,chunk_1
CEGFAW_clean_argon_273.0K_5.0bar_14.,345.3,chunk_1
SIVGOV_clean_argon_273.0K_5.0bar_14.,252.5,chunk_1
UMOVID_clean_argon_273.0K_5.0bar_14.,298.3,chunk_1
GUBZAF_clean_argon_273.0K_5.0bar_14.,283.2,chunk_1
HIHFUB_clean_argon_273.0K_5.0bar_14.,394.3,chunk_1
DUHXIP_clean_argon_273.0K_5.0bar_14.,564.3,chunk_1
SAQSOU_clean_argon_273.0K_5.0bar_14.,465.9,chunk_1
WURNOO_clean_argon_273.0K_5.0bar_14.,462.2,chunk_1
MIMSUY_clean_argon_273.0K_5.0bar_14.,380.7,chunk_1
NAQLAT_clean_argon_273.0K_5.0bar_14.,380.9,chunk_1
VEDFIV_clean_argon_273.0K_5.0bar_14.,377.9,chunk_1
LABPEM_clean_argon_273.0K_5.0bar_14.,939.9,chunk_1
UMODEH_clean_argon_273.0K_5.0bar_14.,329.4,chunk_1
FOLLEZ_clean_argon_273.0K_5.0bar_14.,232.6,chunk_1
NUDMUW_clean_argon_273.0K_5.0bar_14.,249.0,chunk_1
BIPLIX_clean_argon_273.0K_5.0bar_14.,353.9,chunk_1
BEXTUV_clean_argon_273.0K_5.0bar_14.,250.0,chunk_1
XOBDUO_clean_argon_273.0K_5.0bar_14.,231.6,chunk_1
WEMFAX_clean_argon_273.0K_5.0bar_14.,143.2,chunk_1
MATWUC_clean_argon_273.0K_5.0bar_14.,184.8,chunk_1
MIFGEP_clean_argon_273.0K_5.0bar_14.,322.9,chunk_1
IYOSUM_clean_argon_273.0K_5.0bar_14.,265.6,chunk_1
AVIVUW_clean_argon_273.0K_5.0bar_14.,414.5,chunk_1
ALUKUO_clean_argon_273.0K_5.0bar_14.,156.5,chunk_1
XOTGUI_clean_argon_273.0K_5.0bar_14.,160.5,chunk_1
JETZAK_clean_argon_273.0K_5.0bar_14.,285.0,chunk_1
HICGEG_clean_argon_273.0K_5.0bar_14.,529.3,chunk_1
c6cc02494g_c6cc02494g4_clean_argon_273.0K_5.0bar_14.,286.7,chunk_1
ONUJUE_clean_argon_273.0K_5.0bar_14.,374.7,chunk_1
FAPXIG_clean_argon_273.0K_5.0bar_14.,151.7,chunk_1
UMOKIS_clean_argon_273.0K_5.0bar_14.,366.6,chunk_1
FIPXAF_clean_argon_273.0K_5.0bar_14.,324.1,chunk_1
AXUHAD_clean_argon_273.0K_5.0bar_14.,646.6,chunk_1
KUJNOT_clean_argon_273.0K_5.0bar_14.,687.6,chunk_1
EDUVEE_clean_argon_273.0K_5.0bar_14.,884.6,chunk_1
SETQUF_SL_argon_273.0K_5.0bar_14.,200.5,chunk_1
OCIMEV_clean_argon_273.0K_5.0bar_14.,253.1,chunk_1
YUSGOJ_SL_argon_273.0K_5.0bar_14.,291.8,chunk_1
acscombsci.5b00188_8372_clean_argon_273.0K_5.0bar_14.,141.4,chunk_1
MAJJUF_clean_argon_273.0K_5.0bar_14.,160.7,chunk_1
NIFTIH_clean_argon_273.0K_5.0bar_14.,236.3,chunk_1
REYBAA_clean_argon_273.0K_5.0bar_14.,300.0,chunk_1
PUGSER_clean_argon_273.0K_5.0bar_14.,324.1,chunk_1
ic502488c_si_002_clean_argon_273.0K_5.0bar_14.,400.8,chunk_1
COWDEZ_clean_argon_273.0K_5.0bar_14.,702.2,chunk_1
WUGQAS_clean_argon_273.0K_5.0bar_14.,198.9,chunk_1
RIBDEN_clean_argon_273.0K_5.0bar_14.,155.1,chunk_1
COWMAD_clean_argon_273.0K_5.0bar_14.,185.5,chunk_1
HICZAW_clean_argon_273.0K_5.0bar_14.,237.4,chunk_1
EPISOM_clean_argon_273.0K_5.0bar_14.,197.5,chunk_1
IZEWAN_clean_argon_273.0K_5.0bar_14.,175.2,chunk_1
INIQUR_clean_argon_273.0K_5.0bar_14.,282.6,chunk_1
DAXHIV01_clean_argon_273.0K_5.0bar_14.,185.2,chunk_1
TEJGEW_clean_argon_273.0K_5.0bar_14.,286.3,chunk_1
HAJYEZ_clean_argon_273.0K_5.0bar_14.,252.0,chunk_1
DALVIY_clean_argon_273.0K_5.0bar_14.,696.0,chunk_1
TAPXIT01_clean_argon_273.0K_5.0bar_14.,264.3,chunk_1
WUYYEW_clean_argon_273.0K_5.0bar_14.,298.8,chunk_1
FEJDII01_clean_argon_273.0K_5.0bar_14.,168.8,chunk_1
BIWSEG_ion_b_argon_273.0K_5.0bar_14.,55.3,chunk_1
ENISUQ_clean_argon_273.0K_5.0bar_14.,286.3,chunk_1
DIBQUC_clean_argon_273.0K_5.0bar_14.,306.2,chunk_1
TIMMEI_clean_argon_273.0K_5.0bar_14.,1102.0,chunk_1
PUZLUS_clean_argon_273.0K_5.0bar_14.,351.8,chunk_1
XUMVAD_clean_argon_273.0K_5.0bar_14.,213.0,chunk_1
MOYYEF_clean_argon_273.0K_5.0bar_14.,289.4,chunk_1
SUXGUP_clean_argon_273.0K_5.0bar_14.,817.5,chunk_1
ja406030p_si_009_manual_argon_273.0K_5.0bar_14.,253.1,chunk_1
LAMFEK_clean_argon_273.0K_5.0bar_14.,261.2,chunk_1
VACFUB01_clean_argon_273.0K_5.0bar_14.,239.1,chunk_1
XUKYEI_neutral_argon_273.0K_5.0bar_14.,116.7,chunk_1
RITGEI_clean_argon_273.0K_5.0bar_14.,331.2,chunk_1
XASFAY_clean_argon_273.0K_5.0bar_14.,366.2,chunk_1
VIRPOC_clean_argon_273.0K_5.0bar_14.,202.1,chunk_1
JISVAJ_clean_argon_273.0K_5.0bar_14.,196.2,chunk_1
BETGEO_clean_argon_273.0K_5.0bar_14.,214.3,chunk_1
MADVUJ_clean_argon_273.0K_5.0bar_14.,300.1,chunk_1
PARHAS_clean_argon_273.0K_5.0bar_14.,135.2,chunk_1
HIYYEU_clean_argon_273.0K_5.0bar_14.,353.3,chunk_1
EBOJOV_clean_argon_273.0K_5.0bar_14.,271.7,chunk_1
HUFLUR_clean_argon_273.0K_5.0bar_14.,119.7,chunk_1
ATEZEG_clean_argon_273.0K_5.0bar_14.,242.3,chunk_1
LAPZEK_clean_argon_273.0K_5.0bar_14.,305.0,chunk_1
LIBZIG_clean_argon_273.0K_5.0bar_14.,176.7,chunk_1
NIKYUC_clean_argon_273.0K_5.0bar_14.,211.5,chunk_1
QOPPOC_clean_argon_273.0K_5.0bar_14.,259.0,chunk_1
MIFPUO_clean_argon_273.0K_5.0bar_14.,308.2,chunk_1
AWAHEM_clean_argon_273.0K_5.0bar_14.,172.4,chunk_1
SOXDEQ_clean_argon_273.0K_5.0bar_14.,277.6,chunk_1
FEZTIP_clean_argon_273.0K_5.0bar_14.,151.4,chunk_1
ic202626c_si_002_clean_argon_273.0K_5.0bar_14.,315.9,chunk_1
GARLAP_clean_argon_273.0K_5.0bar_14.,225.3,chunk_1
VUHNAP_clean_argon_273.0K_5.0bar_14.,276.5,chunk_1
REZVAU_clean_argon_273.0K_5.0bar_14.,259.4,chunk_1
LUSHOX01_clean_argon_273.0K_5.0bar_14.,238.7,chunk_1
LIDZUV_clean_argon_273.0K_5.0bar_14.,396.9,chunk_1
MIZPUI_clean_argon_273.0K_5.0bar_14.,164.8,chunk_1
LOGBEO_clean_argon_273.0K_5.0bar_14.,159.0,chunk_1
COXHON_clean_argon_273.0K_5.0bar_14.,86.0,chunk_1
OBODEQ_clean_argon_273.0K_5.0bar_14.,142.7,chunk_1
IHIMAP01_clean_argon_273.0K_5.0bar_14.,226.9,chunk_1
XALCOD_clean_argon_273.0K_5.0bar_14.,1563.3,chunk_1
ZEVXAB_clean_argon_273.0K_5.0bar_14.,904.7,chunk_1
KENJEU_clean_argon_273.0K_5.0bar_14.,582.3,chunk_1
HUYKIV_clean_argon_273.0K_5.0bar_14.,173.1,chunk_1
GUVKUE_clean_argon_273.0K_5.0bar_14.,446.9,chunk_1
BETGUE_clean_argon_273.0K_5.0bar_14.,168.8,chunk_1
IWEWAK_clean_argon_273.0K_5.0bar_14.,299.0,chunk_1
QOHTUD_clean_argon_273.0K_5.0bar_14.,275.7,chunk_1
acs.inorgchem.5b02316_ic5b02316_si_002_clean_argon_273.0K_5.0bar_14.,423.3,chunk_1
JUXFAL_clean_argon_273.0K_5.0bar_14.,209.9,chunk_1
HEWFUL_ion_b_argon_273.0K_5.0bar_14.,278.8,chunk_1
ELELEN_clean_argon_273.0K_5.0bar_14.,356.1,chunk_1
c5nj01930c_c5nj01930c2_clean_argon_273.0K_5.0bar_14.,298.8,chunk_1
EDAGEX_clean_argon_273.0K_5.0bar_14.,209.7,chunk_1
CUGLIB_clean_argon_273.0K_5.0bar_14.,208.7,chunk_1
KAKCEH01_clean_argon_273.0K_5.0bar_14.,265.0,chunk_1
ENITIF_clean_argon_273.0K_5.0bar_14.,368.2,chunk_1
QASSUZ_clean_argon_273.0K_5.0bar_14.,284.2,chunk_1
DOPJAV_clean_argon_273.0K_5.0bar_14.,381.9,chunk_1
YINCEF_clean_argon_273.0K_5.0bar_14.,233.8,chunk_1
MOFLAV_clean_argon_273.0K_5.0bar_14.,571.3,chunk_1
OLANAS_clean_argon_273.0K_5.0bar_14.,269.9,chunk_1
HOGLEV01_clean_argon_273.0K_5.0bar_14.,189.7,chunk_1
HOZFEJ_clean_argon_273.0K_5.0bar_14.,247.8,chunk_1
WOMFEK_clean_argon_273.0K_5.0bar_14.,349.1,chunk_1
YIXZEM_clean_argon_273.0K_5.0bar_14.,317.2,chunk_1
