name,gas,temp,pressure,cutoff,path,abs_mol_per_kg_framework,abs_molecules_per_uc,abs_mg_per_g_framework,abs_cm3STP_per_g,abs_cm3STP_per_cm3,source_chunk
cm503311x_aloh225K_clean,argon,273.0,0.5,14.0,cm503311x_aloh225K_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.3895807456,0.31644,15.562971623800001,8.7320533828,8.2913657686,chunk_1
GULBAR_clean,argon,273.0,0.5,14.0,GULBAR_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.6227030531000001,1.3528625,24.8757415662,13.9572511306,20.1979415638,chunk_1
IHILUI_clean,argon,273.0,0.5,14.0,IHILUI_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.0876279718,0.1161458333,3.5005622170999997,1.9640912345,4.2154657308,chunk_1
HUZSUR_clean,argon,273.0,0.5,14.0,HUZSUR_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.281686724,0.6929375,11.252821249,6.313719399400001,5.6192388424,chunk_1
GIFKIP_clean,argon,273.0,0.5,14.0,GIFKIP_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.207724092,0.0812989583,8.2981620265,4.6559227599,5.886008972999999,chunk_1
DUXMAL_clean,argon,273.0,0.5,14.0,DUXMAL_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.8132153111,2.2064958333,32.4863252478,18.227388260599998,21.1239537126,chunk_1
FUTYEA_clean,argon,273.0,0.5,14.0,FUTYEA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.4778297228,0.5208833333,19.088341767,10.7100638186,11.106026075699999,chunk_1
DANZEZ_charged,argon,273.0,0.5,14.0,DANZEZ_charged_argon_273.0K_0.5bar_14.0/Output/System_0,0.1817955549,0.9061333333,7.2623688258,4.074761157799999,4.0018774838999995,chunk_1
COTXOA_clean,argon,273.0,0.5,14.0,COTXOA_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.531537417,1.899275,21.233856733699998,11.913866773199999,12.9208214473,chunk_1
HUCXIO_clean,argon,273.0,0.5,14.0,HUCXIO_clean_argon_273.0K_0.5bar_14.0/Output/System_0,0.2582535473,0.583484375,10.316712707,5.7884887456,7.3953557767,chunk_1
